Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
26,1,3327,0.00751932,1.3530266467056876e-05,26,0.751931952
26,1,3328,0.009506333,3.091206165168923e-06,26,0.950633333
26,2,3326,0,0,16,0
26,2,3327,0.000104577,2.8606760474984264e-06,16,0.010457685
26,2,3328,0.042428,5.610605037684338e-05,16,4.2428
26,3,3326,0,0,6,0
26,3,3327,0,0,6,0
26,3,3328,0.000394,5.0717080182246706e-06,6,0.0394
27,1,3326,0,0,27,0
27,1,3327,0.005839651,1.7808948920076792e-05,27,0.583965106
27,1,3328,0.007928,2.1984843263923722e-06,27,0.7928
27,2,3326,0,0,17,0
27,2,3327,6.283492067368803e-05,2.2642861247363267e-06,17,0.006283492
27,2,3328,0.033362,6.751008155165847e-05,17,3.3362
27,3,3326,0,0,7,0
27,3,3327,0,0,7,0
27,3,3328,0.000188,3.223179934312453e-06,7,0.0188
28,1,3326,0,0,28,0
28,1,3327,0.001172548,1.2934169928207834e-05,28,0.117254847
28,1,3328,0.001950333,1.2247448713970614e-06,28,0.195033333
28,2,3326,0,0,18,0
28,2,3327,5.772819567193955e-05,2.741887031522585e-06,18,0.00577282
28,2,3328,0.023166667,5.518403553363576e-05,18,2.316666667
28,3,3326,0,0,8,0
28,3,3327,0,0,8,0
28,3,3328,0.00015,6.1689185077689634e-06,8,0.015
29,1,3326,0,0,29,0
29,1,3327,0.00089079,7.664108757304184e-06,29,0.089079047
29,1,3328,0.001838,2.4944382578557764e-06,29,0.1838
29,2,3326,0,0,19,0
29,2,3327,6.172476306461228e-05,3.3044676219507505e-06,19,0.006172476
29,2,3328,0.013268,9.410307587369866e-05,19,1.3268
29,3,3326,0,0,9,0
29,3,3327,0,0,9,0
29,3,3328,0.000165,8.498365855983398e-06,9,0.0165
30,1,3326,0,0,30,0
30,1,3327,0.000977383,8.002380751176456e-06,30,0.097738276
30,1,3328,0.001759333,1.5456030825789994e-06,30,0.175933333
30,2,3326,0,0,20,0
30,2,3327,0.00028309,4.4820680100764935e-06,20,0.028309019
30,2,3328,0.015402,3.3794312473487096e-05,20,1.5402
30,3,3326,0,0,10,0
30,3,3327,0,0,10,0
30,3,3328,0.000313667,1.0453601187038468e-05,10,0.031366667
30,4,3326,0,0,0,0
30,4,3327,0,0,0,0
30,4,3328,0,0,0,0
31,1,3326,0,0,31,0
31,1,3327,0.00115634,1.640105237118681e-05,31,0.115634017
31,1,3328,0.001675,1.5811388300788918e-06,31,0.1675
31,2,3326,0,0,21,0
31,2,3327,0.001045546,8.800406398770948e-06,21,0.104554644
31,2,3328,0.015494667,4.5896622969455626e-05,21,1.549466667
31,3,3326,0,0,11,0
31,3,3327,0,0,11,0
31,3,3328,0.000581333,1.3211947455077462e-05,11,0.058133333
31,4,3326,0,0,1,0
31,4,3327,0,0,1,0
31,4,3328,0,0,1,0
32,1,3326,0,0,32,0
32,1,3327,0.001231387,8.077493336769982e-06,32,0.123138682
32,1,3328,0.001596333,6.236095644534458e-07,32,0.159633333
32,2,3326,0,0,22,0
32,2,3327,0.003718806,1.9522366975589406e-05,22,0.371880596
32,2,3328,0.014952667,2.4213173641188752e-05,22,1.495266667
32,3,3326,0,0,12,0
32,3,3327,0,0,12,0
32,3,3328,0.010034667,7.565528548767714e-05,12,1.003466667
32,4,3326,0,0,2,0
32,4,3327,0,0,2,0
32,4,3328,0,0,2,0
33,1,3326,0,0,33,0
33,1,3327,0.001292668,5.2729564882648645e-06,33,0.129266752
33,1,3328,0.001526667,9.128709291752627e-07,33,0.152666667
33,2,3326,0,0,23,0
33,2,3327,0.003793631,2.884145882184485e-05,23,0.379363058
33,2,3328,0.013748333333333279,2.5320172019767654e-05,23,1.374833333
33,3,3326,0,0,13,0
33,3,3327,0,0,13,0
33,3,3328,0.01041,5.130518708886256e-05,13,1.041
33,4,3326,0,0,3,0
33,4,3327,0,0,3,0
33,4,3328,0,0,3,0
34,1,3326,0,0,34,0
34,1,3327,0.001379038,2.7953054347823893e-06,34,0.137903778
34,1,3328,0.001452,9.718253158081251e-07,34,0.1452
34,2,3326,0,0,24,0
34,2,3327,0.0111129,1.7395854466432656e-05,24,1.11128997
34,2,3328,0.013065333,1.7347750414528715e-05,24,1.306533333
34,3,3326,0,0,14,0
34,3,3327,0.021122080701797198,4.2771190184309864e-05,14,2.11220807
34,3,3328,0.068113333,5.5520266569963007e-05,14,6.811333333
34,4,3326,0,0,4,0
34,4,3327,0,0,4,0
34,4,3328,0,0,4,0
35,1,3326,0,0,35,0
35,1,3327,0.001329969,3.0805623449020918e-06,35,0.132996882
35,1,3328,0.001382333,6.666666666625337e-07,35,0.138233333
35,2,3326,0,0,25,0
35,2,3327,0.010199906080666241,1.8219441831238635e-05,25,1.019990608
35,2,3328,0.011120667,1.0601362595851269e-05,25,1.112066667
35,3,3326,0,0,15,0
35,3,3327,0.037353029009528436,4.074989227167884e-05,15,3.735302901
35,3,3328,0.061765,3.8532093405654084e-05,15,6.1765
35,4,3326,0,0,5,0
35,4,3327,0,0,5,0
35,4,3328,0,0,5,0
36,1,3326,5.487314700241716e-07,3.360280268416359e-07,36,5.48731E-05
36,1,3327,0.00126891,2.9581065583584114e-06,36,0.126891015
36,1,3328,0.001314,6.666666666800321e-07,36,0.1314
36,2,3326,0,0,26,0
36,2,3327,0.008687427,1.63144072547091e-05,26,0.868742735
36,2,3328,0.009322,9.907909298453187e-06,26,0.9322
36,3,3326,0,0,16,0
36,3,3327,0.035378725,6.56744320682816e-05,16,3.537872472
36,3,3328,0.052501,3.80299589505085e-05,16,5.2501
36,4,3326,0,0,6,0
36,4,3327,0,0,6,0
36,4,3328,0.008863,2.8217409913428526e-05,6,0.8863
37,1,3326,2.743657350120858e-07,2.7436573501208586e-07,37,2.74366E-05
37,1,3327,0.001204743,2.5169013833180287e-06,37,0.120474304
37,1,3328,0.001250667,6.666666666574724e-07,37,0.125066667
37,2,3326,0,0,27,0
37,2,3327,0.007200704,1.809046021960346e-05,27,0.720070428
37,2,3328,0.007772333,1.1744975284973476e-05,27,0.777233333
37,3,3326,0,0,17,0
37,3,3327,0.029575708863387302,4.232161934945516e-05,17,2.957570886
37,3,3328,0.043624,2.476893215301232e-05,17,4.3624
37,4,3326,0,0,7,0
37,4,3327,0,0,7,0
37,4,3328,0.012012333,4.227423696663534e-05,7,1.201233333
38,1,3326,2.743657350120858e-07,2.7436573501208586e-07,38,2.74366E-05
38,1,3327,0.00110172,2.864981055286183e-06,38,0.110172041
38,1,3328,0.001188,3.3333333333997854e-07,38,0.1188
38,2,3326,0,0,28,0
38,2,3327,0.00150604,7.327040219888158e-06,28,0.150603981
38,2,3328,0.001835667,6.159906204203316e-06,28,0.183566667
38,3,3326,0,0,18,0
38,3,3327,0.016843311,5.807620586628769e-05,18,1.684331124
38,3,3328,0.028318999999999962,4.314574782705015e-05,18,2.8319
38,4,3326,0,0,8,0
38,4,3327,0,0,8,0
38,4,3328,0.008552333,3.244054390555227e-05,8,0.855233333
39,1,3326,0,0,39,0
39,1,3327,0.000974274,4.0119566193934825e-06,39,0.097427432
39,1,3328,0.001126333,1.1055415967876406e-06,39,0.112633333
39,2,3326,0,0,29,0
39,2,3327,0.000767119,9.22834163129263e-06,29,0.076711891
39,2,3328,0.001562667,8.055363982386167e-06,29,0.156266667
39,3,3326,0,0,19,0
39,3,3327,0.008071956,2.2569261190643167e-05,19,0.807195598
39,3,3328,0.014187999999999961,5.4844223842511826e-05,19,1.4188
39,4,3326,0,0,9,0
39,4,3327,0,0,9,0
39,4,3328,0.001395,1.2360330811813766e-05,9,0.1395
40,1,3326,2.743657350120858e-07,2.7436573501208586e-07,40,2.74366E-05
40,1,3327,0.000899006,6.185082491219999e-06,40,0.089900563
40,1,3328,0.001067667,1.130388330519894e-06,40,0.106766667
40,2,3326,0,0,30,0
40,2,3327,0.000423636,9.933274402433857e-06,30,0.042363614
40,2,3328,0.001409,1.1909380056628627e-05,30,0.1409
40,3,3326,0,0,20,0
40,3,3327,0.004012332,2.9425250460813575e-05,20,0.401233163
40,3,3328,0.006718333,4.759785242586658e-05,20,0.671833333
40,4,3326,0,0,10,0
40,4,3327,0,0,10,0
40,4,3328,0.000721,1.0911258202226933e-05,10,0.0721
40,5,3326,0,0,0,0
40,5,3327,0,0,0,0
40,5,3328,0,0,0,0
41,1,3326,2.743657350120858e-07,2.7436573501208586e-07,41,2.74366E-05
41,1,3327,0.000822627,8.432814489259995e-06,41,0.082262679
41,1,3328,0.001015333,6.236095644534231e-07,41,0.101533333
41,2,3326,0,0,31,0
41,2,3327,0.000115456,3.367274749147775e-06,31,0.011545639
41,2,3328,0.001277667,1.703427916486704e-05,31,0.127766667
41,3,3326,0,0,21,0
41,3,3327,0.001542231,1.1469599127226341e-05,21,0.154223095
41,3,3328,0.001395,2.9377807194471542e-05,21,0.1395
41,4,3326,0,0,11,0
41,4,3327,0,0,11,0
41,4,3328,0.000391333,1.1515689780093015e-05,11,0.039133333
41,5,3326,0,0,1,0
41,5,3327,0,0,1,0
41,5,3328,0,0,1,0
42,1,3326,2.743657350120858e-07,2.7436573501208586e-07,42,2.74366E-05
42,1,3327,0.00073115,6.276073561311289e-06,42,0.07311498
42,1,3328,0.000964,8.498365856001112e-07,42,0.0964
42,2,3326,0,0,32,0
42,2,3327,0.00010058,4.585367551650627e-06,32,0.010058028
42,2,3328,0.001140333,1.7751369274257203e-05,32,0.114033333
42,3,3326,0,0,22,0
42,3,3327,0.000936751,1.1279988006640956e-05,22,0.093675099
42,3,3328,0.000939333,3.128542436627223e-05,22,0.093933333
42,4,3326,0,0,12,0
42,4,3327,0,0,12,0
42,4,3328,0.000682667,1.5904227250777877e-05,12,0.068266667
42,5,3326,0,0,2,0
42,5,3327,0,0,2,0
42,5,3328,0,0,2,0
43,1,3326,0,0,43,0
43,1,3327,0.000713165,7.284867426761807e-06,43,0.071316525
43,1,3328,0.000916667,5.270462766894542e-07,43,0.091666667
43,2,3326,0,0,33,0
43,2,3327,0.000150093,6.274109526343669e-06,33,0.015009331
43,2,3328,0.001112,1.5567059238441757e-05,33,0.1112
43,3,3326,0,0,23,0
43,3,3327,0.001407236,1.0117672168284845e-05,23,0.140723579
43,3,3328,0.001128333,2.7588242262085837e-05,23,0.112833333
43,4,3326,0,0,13,0
43,4,3327,0,0,13,0
43,4,3328,0.00222,2.231715832169492e-05,13,0.222
43,5,3326,0,0,3,0
43,5,3327,0,0,3,0
43,5,3328,0,0,3,0
44,1,3326,1.646194410072515e-06,7.999067012246726e-07,44,0.000164619
44,1,3327,0.000685189,6.2544352554996235e-06,44,0.068518928
44,1,3328,0.000872333,1.1303883305257966e-06,44,0.087233333
44,2,3326,0,0,34,0
44,2,3327,0.000258445,1.493729336163778e-05,34,0.025844469
44,2,3328,0.001078667,1.3848385385226122e-05,34,0.107866667
44,3,3326,0,0,24,0
44,3,3327,0.00312687,1.7961238550584993e-05,24,0.312686992
44,3,3328,0.002661333,1.4647715028475555e-05,24,0.266133333
44,4,3326,0,0,14,0
44,4,3327,0,0,14,0
44,4,3328,0.033913333,6.956611563428889e-05,14,3.391333333
44,5,3326,0,0,4,0
44,5,3327,0,0,4,0
44,5,3328,0,0,4,0
45,1,3326,4.115486025181287e-06,9.700293587613863e-07,45,0.000411549
45,1,3327,0.000706282,3.108441305408211e-06,45,0.070628227
45,1,3328,0.000833333,1.1785113019728648e-06,45,0.083333333
45,2,3326,0,0,35,0
45,2,3327,0.000447616,7.1465183523148495e-06,35,0.044761555
45,2,3328,0.001131667,7.870479302083323e-06,35,0.113166667
45,3,3326,0,0,25,0
45,3,3327,0.003606458,2.2796377606935795e-05,25,0.360645801
45,3,3328,0.005395,3.681032463861913e-05,25,0.5395
45,4,3326,0,0,15,0
45,4,3327,0,0,15,0
45,4,3328,0.046538667,3.7462573916427127e-05,15,4.653866667
45,5,3326,0,0,5,0
45,5,3327,0,0,5,0
45,5,3328,0,0,5,0
46,1,3326,4.6642174952054595e-06,9.304194754573358e-07,46,0.000466422
46,1,3327,0.000727375,3.5000788812440612e-06,46,0.072737527
46,1,3328,0.000794667,9.718253158064298e-07,46,0.079466667
46,2,3326,0,0,36,0
46,2,3327,0.000569733,6.8019239839780125e-06,36,0.056973288
46,2,3328,0.001154,4.84767985741771e-06,36,0.1154
46,3,3326,0,0,26,0
46,3,3327,0.00316839,2.2571991398263618e-05,26,0.316838982
46,3,3328,0.005823,4.034021979776987e-05,26,0.5823
46,4,3326,0,0,16,0
46,4,3327,0,0,16,0
46,4,3328,0.040780333,4.1012870608565376e-05,16,4.078033333
46,5,3326,0,0,6,0
46,5,3327,0,0,6,0
46,5,3328,0,0,6,0
47,1,3326,0.00017093,7.407874845336664e-06,47,0.017092985
47,1,3327,0.000702286,4.133008087280096e-06,47,0.07022857
47,1,3328,0.000756667,7.453559924924876e-07,47,0.075666667
47,2,3326,0,0,37,0
47,2,3327,0.000665428,8.871541675426527e-06,37,0.066542847
47,2,3328,0.001116,7.180219742846634e-06,37,0.1116
47,3,3326,0,0,27,0
47,3,3327,0.004755693,1.4313716295922024e-05,27,0.475569317
47,3,3328,0.005396667,3.4516501689611274e-05,27,0.539666667
47,4,3326,0,0,17,0
47,4,3327,0.016069309359849758,4.300825657259764e-05,17,1.606930936
47,4,3328,0.043935667,3.0430248109413685e-05,17,4.393566667
47,5,3326,0,0,7,0
47,5,3327,0,0,7,0
47,5,3328,0.002058,2.0408331631956012e-05,7,0.2058
48,1,3326,0.000253788,4.228259947118471e-06,48,0.02537883
48,1,3327,0.000696513,2.8864097835930938e-06,48,0.069651288
48,1,3328,0.000721667,0,48,0.072166667
48,2,3326,0,0,38,0
48,2,3327,0.000977605,2.18111363289037e-06,38,0.097760479
48,2,3328,0.001138333,3.613247231435713e-06,38,0.113833333
48,3,3326,0,0,28,0
48,3,3327,0.001670565,3.3007358673685256e-06,28,0.167056517
48,3,3328,0.001683333,8.64420165325161e-06,28,0.168333333
48,4,3326,0,0,18,0
48,4,3327,0.029184489321948982,3.576465393158692e-05,18,2.918448932
48,4,3328,0.037933333,2.6220221204260607e-05,18,3.793333333
48,5,3326,0,0,8,0
48,5,3327,0,0,8,0
48,5,3328,0.23874799999999996,7.078920193858496e-06,8,23.8748
49,1,3326,0.000258178,5.1402403979388855e-06,49,0.025817816
49,1,3327,0.000683191,7.529455237987116e-07,49,0.068319099
49,1,3328,0.000686667,0,49,0.068666667
49,2,3326,2.743657350120858e-07,2.743657350120858e-07,39,2.74366E-05
49,2,3327,0.001120371,1.6240205732537067e-06,39,0.112037106
49,2,3328,0.001130667,4.0824829044756004e-07,39,0.113066667
49,3,3326,0,0,29,0
49,3,3327,0.001784245,2.0887490768825983e-06,29,0.178424531
49,3,3328,0.001858333,1.6666666666700086e-06,29,0.185833333
49,4,3326,0,0,19,0
49,4,3327,0.026780554,3.564522292566788e-05,19,2.678055404
49,4,3328,0.032042667,2.5709920264371184e-05,19,3.204266667
49,5,3326,0,0,9,0
49,5,3327,0,0,9,0
49,5,3328,0.19966966666666663,8.164965809222633e-07,9,19.96696667
50,1,3326,0.00024446,4.124621410512703e-06,50,0.024445987
50,1,3327,0.000649886,7.529455237957497e-07,50,0.064988626
50,1,3328,0.000653333,0,50,0.065333333
50,2,3326,2.743657350120858e-07,2.743657350120858e-07,40,2.74366E-05
50,2,3327,0.001066417,1.1429772141263011e-06,40,0.10664174
