Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
24,1,3328,0.009085667,2.3556079658739097e-05,24,0.908566667
24,2,3326,0,0,14,0
24,2,3327,0.077188814,1.7537679472603113e-05,14,7.71888145
24,2,3328,0.081358333,8.612007121848817e-06,14,8.135833333
24,3,3326,0,0,4,0
24,3,3327,0,0,4,0
24,3,3328,0,0,4,0
25,1,3326,3.67650084916195e-05,2.857884949667559e-06,25,0.003676501
25,1,3327,0.010152169,1.2986471677886184e-05,25,1.01521693
25,1,3328,0.011034333333333299,1.4875408491130133e-05,25,1.103433333
25,2,3326,0,0,15,0
25,2,3327,0.0667913,1.595849149658982e-05,15,6.679130036
25,2,3328,0.068183667,2.7588242261985294e-06,15,6.818366667
25,3,3326,0,0,5,0
25,3,3327,0,0,5,0
25,3,3328,0.398391,5.832523753345639e-05,5,39.8391
26,1,3326,1.0974629400483433e-05,1.2270008683674353e-06,26,0.001097463
26,1,3327,0.008887256,9.298854024874833e-06,26,0.888725572
26,1,3328,0.00944,4.21637021356092e-06,26,0.944
26,2,3326,0,0,16,0
26,2,3327,0.056341609,1.267234091176172e-05,16,5.634160882
26,2,3328,0.057030667,1.71593835684149e-06,16,5.703066667
26,3,3326,0,0,6,0
26,3,3327,0,0,6,0
26,3,3328,0.3416336666666666,1.1055415967635042e-06,6,34.16336667
27,1,3326,1.646194410072515e-06,5.132912895428164e-07,27,0.000164619
27,1,3327,0.007593922,7.862549703263962e-06,27,0.759392211
27,1,3328,0.007960667,6.666666666573136e-07,27,0.796066667
27,2,3326,0,0,17,0
27,2,3327,0.047250972,1.212361237834209e-05,17,4.725097222
27,2,3328,0.047685667,1.7159383568284964e-06,17,4.768566667
27,3,3326,0,0,7,0
27,3,3327,0,0,7,0
27,3,3328,0.28564466666666666,3.3333333333517014e-07,7,28.56446667
28,1,3326,0,0,28,0
28,1,3327,0.001895483,3.229013208034486e-06,28,0.18954831
