Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
23,1,3327,0.016045552,8.947622399696819e-06,23,1.604555199
23,1,3328,0.016291333,3.333333333202804e-07,23,1.629133333
23,2,3326,0,0,13,0
23,2,3327,0.097584186,5.438639352725913e-07,13,9.758418603
23,2,3328,0.097551667,2.4720661623550426e-06,13,9.755166667
23,3,3326,0,0,3,0
23,3,3327,0,0,3,0
23,3,3328,0.3589133333333333,0.000174793,3,35.89133333
24,1,3326,0,0,24,0
24,1,3327,0.013479756,6.361890856798908e-06,24,1.347975572
24,1,3328,0.013621333,3.33333333319966e-07,24,1.362133333
24,2,3326,0,0,14,0
24,2,3327,0.081592366,4.153829418405323e-07,14,8.159236567
24,2,3328,0.081571667,1.9002923751628705e-06,14,8.157166667
24,3,3326,0,0,4,0
24,3,3327,0,0,4,0
24,3,3328,0.48802666666666666,8.530989261385277e-06,4,48.80266667
25,1,3326,0.000156114,6.7121545791431456e-06,25,0.01561141
25,1,3327,0.011307399,6.866843075532998e-06,25,1.130739931
25,1,3328,0.01139,0,25,1.139
25,2,3326,0,0,15,0
25,2,3327,0.068219851,2.719319676382786e-07,15,6.821985117
25,2,3328,0.068207,6.236095644584346e-07,15,6.8207
25,3,3326,0,0,5,0
25,3,3327,0.3566543402166805,0.000105538,5,35.66543402
25,3,3328,0.4085706666666667,3.1446603773520856e-06,5,40.85706667
26,1,3326,0.001626714,2.5699005211866358e-05,26,0.162671444
26,1,3327,0.009476083,3.803808883924218e-06,26,0.947608332
26,1,3328,0.009523333,0,26,0.952333333
26,2,3326,0,0,16,0
26,2,3327,0.057039898,0,16,5.703989795
26,2,3328,0.057033666666666614,9.71825315812216e-07,16,5.703366667
26,3,3326,0,0,6,0
26,3,3327,0.341054405,8.617855417540024e-06,6,34.10544055
26,3,3328,0.34163066666666664,1.3540064007707686e-06,6,34.16306667
27,1,3326,0.002729939,2.383194534988217e-05,27,0.272993906
27,1,3327,0.007932742,2.497237790037206e-06,27,0.793274221
27,1,3328,0.007961667,0,27,0.796166667
27,2,3326,0,0,17,0
27,2,3327,0.047691261,0,17,4.769126073
27,2,3328,0.047684667,9.718253158065534e-07,17,4.768466667
27,3,3326,0,0,7,0
27,3,3327,0.28556228927820876,2.8606760475153116e-06,7,28.55622893
