Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
139,14,0,0,9,0
140,1,6.036046170265888e-05,2.602861903633187e-06,140,0.006036046
140,2,6.365285052280391e-05,3.4047892311423926e-06,130,0.006365285
140,3,7.133509110314232e-05,4.069501497815039e-06,120,0.007133509
140,4,6.58477764029006e-05,2.7436573501208603e-06,110,0.006584778
140,5,6.58477764029006e-05,2.2955084313525293e-06,100,0.006584778
140,6,7.133509110314232e-06,1.0974629400483432e-06,90,0.000713351
140,7,0,0,80,0
140,8,0,0,70,0
140,9,0,0,60,0
140,10,0,0,50,0
140,11,0,0,40,0
140,12,0,0,30,0
140,13,0,0,20,0
140,14,0,0,10,0
140,15,0,0,0,0
141,1,6.036046170265888e-05,2.602861903633187e-06,141,0.006036046
141,2,6.365285052280391e-05,3.4047892311423926e-06,131,0.006365285
141,3,7.133509110314232e-05,4.069501497815039e-06,121,0.007133509
141,4,6.529904493287643e-05,3.1760130002140638e-06,111,0.006529904
141,5,6.58477764029006e-05,3.0055260414520867e-06,101,0.006584778
141,6,7.133509110314232e-06,1.0974629400483432e-06,91,0.000713351
141,7,0,0,81,0
141,8,0,0,71,0
141,9,0,0,61,0
141,10,0,0,51,0
141,11,0,0,41,0
141,12,0,0,31,0
141,13,0,0,21,0
141,14,0,0,11,0
141,15,0,0,1,0
142,1,5.871426729258636e-05,2.8247681310444825e-06,142,0.005871427
142,2,6.145792464270721e-05,3.7418497455218983e-06,132,0.006145792
142,3,7.133509110314232e-05,4.069501497815039e-06,122,0.007133509
142,4,6.365285052280391e-05,2.6600744943666274e-06,112,0.006365285
142,5,6.420158199282808e-05,2.8247681310444842e-06,102,0.006420158
142,6,7.133509110314232e-06,1.0974629400483432e-06,92,0.000713351
142,7,0,0,82,0
142,8,0,0,72,0
142,9,0,0,62,0
142,10,0,0,52,0
142,11,0,0,42,0
142,12,0,0,32,0
142,13,0,0,22,0
142,14,0,0,12,0
142,15,0,0,2,0
143,1,5.816553582256219e-05,2.797992473375702e-06,143,0.005816554
143,2,6.036046170265888e-05,3.470482538177583e-06,133,0.006036046
143,3,6.96888966930698e-05,3.534955217126218e-06,123,0.00696889
143,4,6.365285052280391e-05,2.9294244224001266e-06,113,0.006365285
143,5,6.420158199282808e-05,2.2289577681543576e-06,103,0.006420158
143,6,8.779703520386746e-06,1.0265825790856323e-06,93,0.00087797
143,7,0,0,83,0
143,8,0,0,73,0
143,9,0,0,63,0
143,10,0,0,53,0
143,11,0,0,43,0
143,12,0,0,33,0
143,13,0,0,23,0
143,14,0,0,13,0
143,15,0,0,3,0
144,1,5.8714267292586374e-05,3.4268269319591635e-06,144,0.005871427
144,2,6.090919317268305e-05,3.82147248720334e-06,134,0.006090919
144,3,7.078635963311814e-05,3.176013000214069e-06,124,0.007078636
144,4,6.20066561127314e-05,3.079747737256897e-06,114,0.006200666
144,5,6.475031346285225e-05,2.0531651581712664e-06,104,0.006475031
144,6,9.328434990410917e-06,1.0974629400483428e-06,94,0.000932843
144,7,0,0,84,0
144,8,0,0,74,0
144,9,0,0,64,0
144,10,0,0,54,0
144,11,0,0,44,0
144,12,0,0,34,0
144,13,0,0,24,0
144,14,0,0,14,0
144,15,0,0,4,0
145,1,5.816553582256219e-05,3.404789231142391e-06,145,0.005816554
145,2,6.090919317268305e-05,3.82147248720334e-06,135,0.006090919
145,3,7.298128551321483e-05,2.688224214733086e-06,125,0.007298129
145,4,6.090919317268305e-05,3.7216779018293436e-06,115,0.006090919
145,5,6.475031346285225e-05,2.5443631547383537e-06,105,0.006475031
145,6,8.230972050362575e-06,1.502763020726043e-06,95,0.000823097
145,7,0,0,85,0
145,8,0,0,75,0
145,9,0,0,65,0
145,10,0,0,55,0
145,11,0,0,45,0
145,12,0,0,35,0
145,13,0,0,25,0
145,14,0,0,15,0
145,15,0,0,5,0
146,1,5.9262998762610535e-05,3.7418497455219004e-06,146,0.0059263
146,2,6.090919317268305e-05,3.82147248720334e-06,136,0.006090919
146,3,7.243255404319065e-05,2.228957768154358e-06,126,0.007243255
146,4,6.20066561127314e-05,2.3918650249758807e-06,116,0.006200666
146,5,6.255538758275558e-05,3.4047892311423917e-06,106,0.006255539
146,6,9.877166460435089e-06,2.2289577681543585e-06,96,0.000987717
146,7,0,0,86,0
146,8,0,0,76,0
146,9,0,0,66,0
146,10,0,0,56,0
146,11,0,0,46,0
146,12,0,0,36,0
146,13,0,0,26,0
146,14,0,0,16,0
146,15,0,0,6,0
147,1,5.6519341412489675e-05,3.741849745521901e-06,147,0.005651934
147,2,5.9262998762610535e-05,3.5349552171262165e-06,137,0.0059263
147,3,7.188382257316649e-05,2.360183294705188e-06,127,0.007188382
147,4,6.255538758275558e-05,2.797992473375705e-06,117,0.006255539
147,5,6.475031346285225e-05,2.2289577681543598e-06,107,0.006475031
147,6,1.0974629400483433e-05,1.940058717522773e-06,97,0.001097463
147,7,0,0,87,0
147,8,0,0,77,0
147,9,0,0,67,0
147,10,0,0,57,0
147,11,0,0,47,0
147,12,0,0,37,0
147,13,0,0,27,0
147,14,0,0,17,0
147,15,0,0,7,0
148,1,5.6519341412489675e-05,3.741849745521901e-06,148,0.005651934
148,2,5.9262998762610535e-05,3.5349552171262165e-06,138,0.0059263
148,3,7.078635963311814e-05,2.016168161049815e-06,128,0.007078636
148,4,6.255538758275558e-05,2.797992473375705e-06,118,0.006255539
148,5,6.529904493287643e-05,2.514603497590161e-06,108,0.006529904
148,6,1.0974629400483433e-05,1.940058717522773e-06,98,0.001097463
148,7,0,0,88,0
148,8,0,0,78,0
148,9,0,0,68,0
148,10,0,0,58,0
148,11,0,0,48,0
148,12,0,0,38,0
148,13,0,0,28,0
