Timestep,ReleaseNumber,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
43,5,0.5844977872403472,0,3,58.44977872
44,1,0.000117429,8.017866255589217e-06,44,0.011742853
44,2,0.001066185,1.587058153351709e-05,34,0.106618525
44,3,0.013620613,6.720560536779125e-07,24,1.362061255
44,4,0.081593626,0,14,8.159362594
44,5,0.48870299086087743,0,4,48.87029909
45,1,0.000122367,7.027191551120032e-06,45,0.012236712
45,2,0.001042041,1.4450507529713034e-05,35,0.104204106
45,3,0.011387275465941541,6.720560536781486e-07,25,1.138727547
45,4,0.06822104,0,15,6.822104001
45,5,0.4086074018387992,0,5,40.86074018
46,1,0.00012127,3.6191326087242122e-06,46,0.012126965
46,2,0.001016251,1.719115356833063e-05,36,0.101625068
46,3,0.009521588,6.720560536779125e-07,26,0.952158847
46,4,0.057037893,0,16,5.703789265
46,5,0.3416374695796991,0,6,34.16374696
47,1,0.000106454,2.3601832946998907e-06,47,0.010645391
47,2,0.000970706,1.787382740189562e-05,37,0.097070597
47,3,0.007960996,6.720560536784967e-07,27,0.796099617
47,4,0.047690252,0,17,4.769025206
47,5,0.2856449103784326,0,7,28.56449104
48,1,8.615084079379495e-05,2.9550094009413482e-06,48,0.008615084
48,2,0.000935038,1.4657397190161544e-05,38,0.093503842
48,3,0.001961166,5.487314700399594e-07,28,0.196116627
48,4,0.039873572,0,18,3.987357227
48,5,0.23882988501332042,0,8,23.8829885
49,1,0.000359419,1.2513002742003045e-05,49,0.035941911
49,2,0.001087586,5.029206995196649e-06,39,0.108758577
49,3,0.001865687,0,29,0.1865687
49,4,0.03333818,0,19,3.333818046
49,5,0.1996861255991461,0,9,19.96861256
50,1,0.000426364,6.5273678467419416e-06,50,0.042636435
50,2,0.001065088,3.1760130002097896e-06,40,0.106508778
50,3,0.001772951,1.0265825790778193e-06,30,0.177295138
50,4,0.027875559,0,20,2.787555868
50,5,0.1669597807269045,0,10,16.69597807
50,6,1,0,0,100
51,1,0.000427462,3.821472487202994e-06,51,0.042746182
51,2,0.000926259,4.953802320926017e-06,41,0.092625872
51,3,0.00160504,9.016578124354646e-06,31,0.160503955
51,4,0.023304626,0,21,2.330462553
51,5,0.1395945423167991,0,11,13.95945423
51,6,0.8361048845331804,0,1,83.61048845
52,1,0.000417036,6.1960506647229134e-06,52,0.041703592
52,2,0.000869191,6.5733357938579656e-06,42,0.086919065
52,3,0.00147499,1.0433115583046242e-05,32,0.147499019
52,4,0.019485455,0,22,1.94854545
52,5,0.11671518367414131,0,12,11.67151837
52,6,0.6990729181813942,0,2,69.90729182
53,1,0.000398928,4.1246214105100475e-06,53,0.039892778
53,2,0.000393989,7.543810492780047e-06,43,0.03939892
53,3,0.000583302,1.6521283062932773e-05,33,0.058330155
53,4,0.016291288613547582,5.487314700202729e-07,23,1.629128861
53,5,0.097586405,0,13,9.758640463
53,6,0.5844977872403472,0,3,58.44977872
54,1,0.000364358,8.562672834955001e-06,54,0.03643577
54,2,0.000284243,8.527435348680818e-06,44,0.02842429
54,3,0.000333629,7.493751476091641e-06,34,0.033362873
54,4,0.013621710011879978,5.487314700198826e-07,24,1.362171001
54,5,0.081593626,0,14,8.159362594
54,6,0.48870299086087743,0,4,48.87029909
55,1,0.00029412,8.385004699853977e-06,55,0.029412007
55,2,0.000223334,7.493751476087619e-06,45,0.022333371
55,3,0.000253514,8.438697914677836e-06,35,0.025351394
55,4,0.011269847,6.1717045954750995e-06,25,1.126984693
55,5,0.06822104,0,15,6.822104001
55,6,0.4086074018387992,0,5,40.86074018
56,1,0.000232662,1.1877216297282926e-05,56,0.023266214
56,2,0.000170107,8.676206345436502e-06,46,0.017010676
56,3,0.000211262,6.492678312322423e-06,36,0.021126162
56,4,0.009100163,1.2003304929647428e-05,26,0.91001627
56,5,0.057037893,0,16,5.703789265
56,6,0.3416374695796991,0,6,34.16374696
57,1,0.000133342,6.171704595466299e-06,57,0.013334175
57,2,9.328434990409066e-05,4.160962389412388e-06,47,0.009328435
57,3,0.000206872,4.6399456002165944e-06,37,0.020687176
57,4,0.007618039,7.980223483113429e-06,27,0.7618039
57,5,0.047690252,0,17,4.769025206
57,6,0.2856449103784326,0,7,28.56449104
58,1,0.000111941,6.220301444947779e-06,58,0.011194122
58,2,9.108942402401248e-05,3.721677901829342e-06,48,0.009108942
58,3,0.000235955,5.884489443643529e-06,38,0.023595453
58,4,0.001923304,3.681002605092965e-06,28,0.19233038
58,5,0.039873572,0,18,3.987357227
58,6,0.23882988501332042,0,8,23.8829885
59,1,0.00011688,6.698121206954549e-06,59,0.01168798
59,2,0.000109198,4.861773211108371e-06,49,0.010919756
59,3,0.000249673,1.030242421634932e-05,39,0.024967282
59,4,0.001849225,3.781870667317158e-06,29,0.184922505
59,5,0.03333818,0,19,3.333818046
59,6,0.1996861255991461,0,9,19.96861256
60,1,0.000126757,1.0206995359226633e-05,60,0.012675697
60,2,0.000302351,1.3535994187324746e-05,50,0.030235104
60,3,0.00069195,1.3198104100736875e-05,40,0.069195038
60,4,0.001766915,1.2270008683581273e-06,30,0.176691533
60,5,0.027875559,0,20,2.787555868
60,6,0.1669597807269045,0,10,16.69597807
60,7,1,0,0,100
61,1,0.000172302,8.111208937246274e-06,61,0.017230168
61,2,0.00047575,4.799440207351007e-06,51,0.047575018
61,3,0.000971803,3.8214724871972905e-06,41,0.097180343
61,4,0.001681313,1.344112107380865e-06,31,0.168131322
61,5,0.023304626,0,21,2.330462553
61,6,0.1395945423167991,0,11,13.95945423
61,7,0.8361048845331804,0,1,83.61048845
62,1,0.000187117,3.2923888201433367e-06,62,0.018711743
62,2,0.000468068,4.639945600214817e-06,52,0.046806794
62,3,0.00092132,5.5825168527374515e-06,42,0.092132014
62,4,0.001597906,2.688224214743243e-06,32,0.159790604
62,5,0.019485455,0,22,1.94854545
62,6,0.11671518367414131,0,12,11.67151837
62,7,0.6990729181813942,0,2,69.90729182
63,1,0.00018163,3.6191326087075337e-06,63,0.018163012
63,2,0.000445021,6.340164130134842e-06,53,0.044502122
63,3,0.000868642,3.3151737897247575e-06,43,0.086864192
63,4,0.001471149,3.6191326087105703e-06,33,0.147114907
63,5,0.016237513,4.8617732111108115e-06,23,1.623751293
63,6,0.097586405,0,13,9.758640463
63,7,0.5844977872403472,0,3,58.44977872
64,1,0.00017285,5.05905418300032e-06,64,0.017285041
64,2,0.000401123,5.5146830231326435e-06,54,0.04011227
64,3,0.000772614,5.390431413881474e-06,44,0.077261391
64,4,0.001250559,3.82147248721235e-06,34,0.125055902
64,5,0.013279850306054919,6.573335793863567e-06,24,1.327985031
64,6,0.081593626,0,14,8.159362594
64,7,0.48870299086087743,0,4,48.87029909
65,1,0.000136085,4.55810592323234e-06,65,0.01360854
65,2,0.000351188,7.463554906745381e-06,55,0.035118814
65,3,0.000683171,3.1282506854941763e-06,45,0.068317068
65,4,0.001128192,7.016471191618891e-06,35,0.11281919
65,5,0.010852811,2.4959743227796645e-05,25,1.085281101
65,6,0.06822104,0,15,6.822104001
65,7,0.4086074018387992,0,5,40.86074018
66,1,0.000107003,3.975937232305443e-06,66,0.010700264
66,2,0.000313326,7.970785013216586e-06,56,0.031332567
66,3,0.000611836,5.4873147002299884e-06,46,0.061183559
66,4,0.000624456,1.6338013022448244e-05,36,0.062445641
66,5,0.004783841,2.9417329825878462e-05,26,0.478384096
66,6,0.057036795188722456,6.720560536790987e-07,16,5.703679519
66,7,0.3416374695796991,0,6,34.16374696
67,1,8.779703520386745e-05,3.128250685500421e-06,67,0.008779704
67,2,0.000280951,6.9734249498086e-06,57,0.028095051
67,3,0.0005405,3.6810026050966765e-06,47,0.05405005
67,4,0.000235406,1.2034620675363328e-05,37,0.02354058
67,5,0.002568612,2.9067233626596806e-05,27,0.256861201
67,6,0.04768696,1.0265825790776512e-06,17,4.768695967
67,7,0.2856449103784326,0,7,28.56449104
68,1,8.066352609355323e-05,1.8608389509146699e-06,68,0.008066353
68,2,0.000256258,7.080549884123733e-06,58,0.02562576
68,3,0.000500443,6.352026000429101e-06,48,0.05004431
