Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
50,2,0.000593179,1.569889952004267e-05,40,0.059317872
50,3,0.000645857,1.5823078938077735e-05,30,0.064585694
50,4,0,0,20,0
50,5,0,0,10,0
50,6,0,0,0,0
51,1,0.000311679,1.0065895147205879e-05,51,0.031167947
51,2,0.000547085,1.596516271366678e-05,41,0.054708528
51,3,0.000538306,1.434594387289541e-05,31,0.053830557
51,4,0,0,21,0
51,5,0,0,11,0
51,6,0,0,1,0
52,1,0.000458191,7.5637413346126e-06,52,0.045819078
52,2,0.000517454,1.633801302244958e-05,42,0.051745378
52,3,0.000464227,1.8515113786385548e-05,32,0.046422682
52,4,0,0,22,0
52,5,0,0,12,0
52,6,0,0,2,0
53,1,0.000474104,6.798514964388864e-06,53,0.047410399
53,2,0.000485627,1.4177037983480539e-05,43,0.048562735
53,3,0.000390697,1.670254227863834e-05,33,0.039069681
53,4,0,0,23,0
53,5,0,0,13,0
53,6,0,0,3,0
54,1,0.000465324,3.199626804894091e-06,54,0.046532429
54,2,0.000460386,1.2584986093700637e-05,44,0.04603857
54,3,0.000362163,1.073187455757994e-05,34,0.036216277
54,4,0,0,24,0
54,5,0,0,14,0
54,6,0,0,4,0
55,1,0.000433498,4.830707249472441e-06,55,0.043349786
55,2,0.000435693,1.4054383102210004e-05,45,0.043569279
55,3,0.000355029,1.6059186864089276e-05,35,0.035502926
55,4,2.7436573501208582e-06,1.2270008683674362e-06,25,0.000274366
55,5,0,0,15,0
55,6,0,0,5,0
56,1,0.000412646,6.641691210637292e-06,56,0.041264607
56,2,0.000438436,1.2851333201961923e-05,46,0.043843644
56,3,0.000514161,1.3624683058660278e-05,36,0.051416139
56,4,0.000203031,1.2513002741995372e-05,26,0.020303064
56,5,0,0,16,0
56,6,0,0,6,0
57,1,0.00039344,5.528316376511961e-06,57,0.039344046
57,2,0.000430754,1.1542941786701848e-05,47,0.04307542
57,3,0.000561352,8.788273267199738e-06,37,0.056135229
57,4,0.000339665,7.175595074923557e-06,27,0.033966478
57,5,3.3472619671474467e-05,6.399253609797382e-06,17,0.003347262
57,6,0,0,7,0
58,1,0.000377527,4.303258406256454e-06,58,0.037752725
58,2,0.000496602,9.384752056503033e-06,48,0.049660198
58,3,0.000771516,1.0850462406832457e-05,38,0.077151645
58,4,0.000417036,1.695748937833857e-05,28,0.041703592
58,5,0.024069557201140217,0.000102366,18,2.40695572
58,6,0,0,8,0
59,1,0.000361065,5.922742215539727e-06,59,0.036106531
59,2,0.000526782,6.9409650763617035e-06,49,0.052678221
59,3,0.000924064,5.162160499073385e-06,39,0.09240638
59,4,0.000585496,1.4992524732493894e-05,29,0.058549648
59,5,0.027473887,7.557568395120529e-05,19,2.747388724
59,6,0,0,9,0
60,1,0.000345152,6.630347579456969e-06,60,0.034515209
60,2,0.00051032,4.1609623894292216e-06,50,0.051032027
60,3,0.000925161,5.781244771472534e-06,40,0.092516126
60,4,0.000609092,1.0375233773982751e-05,30,0.060909193
60,5,0.023662947,6.0251864835188804e-05,20,2.366294718
60,6,0,0,10,0
60,7,0,0,0,0
61,1,0.000331434,7.01647119161734e-06,61,0.033143381
61,2,0.000478494,4.639945600226058e-06,51,0.047849384
61,3,0.000876873,8.349017389142817e-06,41,0.087687289
61,4,0.000565193,1.0375233773970811e-05,31,0.056519341
61,5,0.019507952,5.9325206488297495e-05,21,1.950795249
61,6,0,0,11,0
61,7,0,0,1,0
62,1,0.000312228,4.196988710061069e-06,62,0.031222821
62,2,0.00043679,5.162160499088272e-06,52,0.043679025
62,3,0.000778101,1.03243209981513e-05,42,0.077810122
62,4,0.000528977,1.1845484431076204e-05,32,0.052897714
62,5,0.016189225,6.460482918792643e-05,22,1.618922456
62,6,0,0,12,0
62,7,0,0,2,0
63,1,0.000288084,3.5772915191877752e-06,63,0.028808402
63,2,0.000311131,6.809578462288612e-06,53,0.031113074
63,3,0.000460386,8.157479757200724e-06,43,0.04603857
63,4,0.000162973,9.20659560716069e-06,33,0.016297325
63,5,0.004933096,4.2769385360720124e-05,23,0.493309592
63,6,0,0,13,0
63,7,0,0,3,0
64,1,0.000276561,3.8214724871979664e-06,64,0.027656066
64,2,0.000256258,9.838986315752074e-06,54,0.02562576
64,3,0.000375881,7.856638999604798e-06,44,0.037588106
64,4,6.914016522304563e-05,5.715769899335119e-06,34,0.006914017
64,5,0.000418682,1.1131271808696413e-05,24,0.041868211
64,6,0,0,14,0
64,7,0,0,4,0
65,1,0.000251319,5.922742215548989e-06,65,0.025131901
65,2,0.000208518,1.0940279928436083e-05,55,0.020851796
65,3,0.000308387,8.349017389136259e-06,45,0.030838709
65,4,5.871426729258636e-05,6.2924930468477934e-06,35,0.005871427
65,5,0.00033308,1.2680328260253236e-05,25,0.033308
65,6,0,0,15,0
65,7,0,0,5,0
66,1,0.000245832,3.7418497455227903e-06,66,0.02458317
66,2,0.0002162,1.2312878822168282e-05,56,0.02162002
66,3,0.000287535,6.962621806283665e-06,46,0.028753529
66,4,5.1580758182272137e-05,4.541561019555925e-06,36,0.005158076
66,5,0.000414292,1.080178978922778e-05,26,0.041429226
66,6,0,0,16,0
66,7,0,0,6,0
67,1,0.000239247,3.5135957755631386e-06,67,0.023924692
67,2,0.000289181,1.0065895147211322e-05,57,0.028918148
67,3,0.000454898,1.5889542808540578e-05,47,0.045489839
67,4,0.000297961,1.4113177127350278e-05,37,0.029796119
67,5,0.005448355,4.083719914221499e-05,27,0.544835477
67,6,0,0,17,0
67,7,0,0,7,0
68,1,0.000225529,2.194925880102499e-06,68,0.022552863
68,2,0.000299059,7.56374133462892e-06,58,0.029905865
68,3,0.000459288,1.3652280176392355e-05,48,0.045928824
68,4,0.000317167,1.3031650377983664e-05,38,0.031716679
68,5,0.001417922,1.5310493038858927e-05,28,0.141792212
68,6,0,0,18,0
68,7,0,0,8,0
69,1,0.000218944,2.929424422392842e-06,69,0.021894386
69,2,0.000289181,7.443355803652221e-06,59,0.028918148
69,3,0.000446667,1.3198104100738737e-05,49,0.044666742
69,4,0.000329788,1.378397724637634e-05,39,0.032978761
69,5,0.001378413,1.8087341285005415e-05,29,0.137841345
69,6,0,0,19,0
69,7,0,0,9,0
70,1,0.000205226,2.6600744943629136e-06,70,0.020522557
70,2,0.00029412,4.704392375782721e-06,60,0.029412007
70,3,0.000437339,1.4166414499048203e-05,50,0.043733898
70,4,0.000559157,1.5794508805366104e-05,40,0.055915737
70,5,0.001403655,1.7103353435752625e-05,30,0.14036551
70,6,0,0,20,0
70,7,0,0,10,0
70,8,0,0,0,0
71,1,0.000193702,3.5349552171358265e-06,71,0.019370221
71,2,0.000273817,4.7837300499538214e-06,61,0.0273817
71,3,0.000401123,1.2763168429960577e-05,51,0.04011227
71,4,0.000750665,1.0287800469848183e-05,41,0.075066465
71,5,0.001386644,1.175617955899529e-05,31,0.138664442
71,6,0,0,21,0
71,7,0,0,11,0
71,8,0,0,1,0
72,1,0.000184374,3.176013000214113e-06,72,0.018437377
72,2,0.000259001,3.6398727934631317e-06,62,0.025900125
72,3,0.000379173,1.0206995359241147e-05,52,0.037917345
