Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
21,2,3326,0.1395959141454742,0,11,13.95959141
21,2,3327,0.1395956583956224,0,11,13.95956584
21,2,3328,0.007509667,3.782048239893608e-05,11,0.750966667
21,3,3326,0.8361048845331804,0,1,83.61048845
21,3,3327,0.8361052118569272,0,1,83.61052119
21,3,3328,0.8361050000000001,0,1,83.6105
22,1,3326,0.019287911,6.5071547590938725e-06,22,1.928791117
22,1,3327,0.013840113,2.8118782330406855e-05,22,1.384011288
22,1,3328,0.010485333,3.1204522464252215e-05,22,1.048533333
22,2,3326,0.1167165555028163,0,12,11.67165555
22,2,3327,0.11671642,0,12,11.67164202
22,2,3328,0.005597,2.5393568739607563e-05,12,0.5597
22,3,3326,0.6990729181813942,0,2,69.90729182
22,3,3327,0.6990729073806609,0,2,69.90729074
22,3,3328,0.6990716666666666,0,2,69.90716667
23,1,3326,0.016123926,4.436757773129559e-06,23,1.612392552
23,1,3327,0.009507612,2.0335590602347197e-05,23,0.95076118
23,1,3328,0.008239,3.238483870235695e-05,23,0.8239
23,2,3326,0.097587776,0,13,9.758777646
23,2,3327,0.097528012,2.732882452091892e-06,13,9.752801205
23,2,3328,0.002029667,2.880200610297112e-05,13,0.202966667
23,3,3326,0.5844977872403472,0,3,58.44977872
23,3,3327,0.584499091,0,3,58.44990913
23,3,3328,0.5844983333333333,0,3,58.44983333
24,1,3326,0.013576165299868001,3.990111741552826e-06,24,1.35761653
24,1,3327,0.002884634,2.013521106650111e-05,24,0.288463353
24,1,3328,0.004536,2.3556079658739094e-05,24,0.4536
24,2,3326,0.081593626,0,14,8.159362594
24,2,3327,0.004404439,1.753767947259829e-05,14,0.44044393
24,2,3328,0.000235,8.612007121849312e-06,14,0.0235
24,3,3326,0.48870299086087743,0,4,48.87029909
24,3,3327,0.4887024810912405,0,4,48.87024811
24,3,3328,0.4887016666666666,0,4,48.87016667
25,1,3326,0.011352157,2.857884949673033e-06,25,1.135215665
25,1,3327,0.001238048,1.2986471677901556e-05,25,0.123804777
25,1,3328,0.000355667,1.4875408491113191e-05,25,0.035566667
25,2,3326,0.06822104,0,15,6.822104001
25,2,3327,0.001428995,1.595849149657893e-05,15,0.142899487
25,2,3328,3.633333333333333e-05,2.7588242262078104e-06,15,0.003633333
25,3,3326,0.4086074018387992,0,5,40.86074018
25,3,3327,0.4086068299116425,0,5,40.86068299
25,3,3328,0.010215667,5.832523753345087e-05,5,1.021566667
26,1,3326,0.00951226,1.227000868363567e-06,26,0.951226003
26,1,3327,0.000635676,9.298854024874892e-06,26,0.063567625
26,1,3328,8.333333333333334e-05,4.2163702135578434e-06,26,0.008333333
26,2,3326,0.057039264,0,16,5.703926448
26,2,3327,0.000698289,1.2672340911747964e-05,16,0.069828914
26,2,3328,9.333333333333333e-06,1.7159383568311663e-06,16,0.000933333
