Model,Location,Time,Replicate,Average,SE,Wind,Tide
17012018,3326,15,Rep2,541.6459195752694,0.841315804,SE,Spring
17012018,3326,15,Rep3,543.6545223,0.8358616840647661,SE,Spring
17012018,3326,15,Rep4,543.3432753675487,0.8358095972593999,SE,Spring
17012018,3326,15,Rep5,542.8263225507224,0.834004905,SE,Spring
17012018,3326,16,Rep1,588.4163092846486,0.9884338818675881,SE,Spring
17012018,3326,16,Rep2,587.1406152993285,0.9899148467954919,SE,Spring
17012018,3326,16,Rep3,590.4541682918876,0.9770317695887862,SE,Spring
17012018,3326,16,Rep4,589.6435819,0.9791110691298386,SE,Spring
17012018,3326,16,Rep5,588.4404367502831,0.9786866830831427,SE,Spring
17012018,3326,17,Rep1,628.9317171,1.1611097180683065,SE,Spring
17012018,3326,17,Rep2,627.5541217047365,1.1658345550468359,SE,Spring
17012018,3326,17,Rep3,630.8650309254012,1.1499281820679275,SE,Spring
17012018,3326,17,Rep4,629.2465547,1.155077674570093,SE,Spring
17012018,3326,17,Rep5,628.8922375897511,1.151223406730435,SE,Spring
17012018,3326,18,Rep1,693.6813662629858,1.4295386610971266,SE,Spring
17012018,3326,18,Rep2,689.9162759246703,1.4493210329374533,SE,Spring
17012018,3326,18,Rep3,694.6744411757518,1.425722828953544,SE,Spring
17012018,3326,18,Rep4,693.3986806237621,1.4294370070883908,SE,Spring
17012018,3326,18,Rep5,691.9002374070309,1.428798687491763,SE,Spring
17012018,3326,19,Rep1,799.8503209739367,1.8466176692875034,SE,Spring
17012018,3326,19,Rep2,796.4253556192368,1.8631865357422126,SE,Spring
17012018,3326,19,Rep3,802.1304095906811,1.828953874628966,SE,Spring
17012018,3326,19,Rep4,799.2186708,1.8472445446914427,SE,Spring
17012018,3326,19,Rep5,797.4920402605808,1.840340276567164,SE,Spring
17012018,3326,20,Rep1,944.1895439,2.443177610525743,SE,Spring
17012018,3326,20,Rep2,942.0850337311415,2.4616351960182308,SE,Spring
17012018,3326,20,Rep3,948.0686687346629,2.4229077830620485,SE,Spring
17012018,3326,20,Rep4,945.5891034809221,2.436626608992715,SE,Spring
17012018,3326,20,Rep5,944.3968530098642,2.4231550263331925,SE,Spring
17012018,3326,21,Rep1,1128.7831136664513,3.282409752169191,SE,Spring
17012018,3326,21,Rep2,1125.299963336047,3.318239511957512,SE,Spring
17012018,3326,21,Rep3,1135.5001877779157,3.2492489745204955,SE,Spring
17012018,3326,21,Rep4,1131.145411314209,3.2865669600609517,SE,Spring
17012018,3326,21,Rep5,1129.1093696262915,3.263016833103497,SE,Spring
17012018,3326,22,Rep1,1353.9321473358666,4.416436951189429,SE,Spring
17012018,3326,22,Rep2,1348.0871406831875,4.470092069341872,SE,Spring
17012018,3326,22,Rep3,1361.5117032159044,4.365727338612184,SE,Spring
17012018,3326,22,Rep4,1354.3880123040096,4.426994101,SE,Spring
17012018,3326,22,Rep5,1349.8447643840489,4.374122830220187,SE,Spring
17012018,3326,23,Rep1,1599.2926058453338,5.745008672304201,SE,Spring
17012018,3326,23,Rep2,1597.9431368046467,5.814433447837289,SE,Spring
17012018,3326,23,Rep3,1617.5702935726924,5.678447384416964,SE,Spring
17012018,3326,23,Rep4,1609.7137036396061,5.742884350974473,SE,Spring
17012018,3326,23,Rep5,1598.8339769848524,5.677374158688857,SE,Spring
17012018,3326,24,Rep1,1837.6204281410173,7.011828234496762,SE,Spring
17012018,3326,24,Rep2,1838.0072329235677,7.061884647668379,SE,Spring
17012018,3326,24,Rep3,1857.7610414583878,6.937461868,SE,Spring
17012018,3326,24,Rep4,1853.0280533489026,6.974685993541982,SE,Spring
17012018,3326,24,Rep5,1842.2519911221568,6.908760185851403,SE,Spring
