Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
25,1,3326,2.743657350120858e-07,2.743657350120858e-07,25,2.74366E-05
25,1,3327,0.010229658,2.1494096302998614e-05,25,1.02296583
25,1,3328,0.011302,5.147815070489106e-06,25,1.1302
25,2,3326,0,0,15,0
25,2,3327,0.048100687,2.6321272695985155e-05,15,4.810068685
25,2,3328,0.06584,3.2407989412771646e-05,15,6.584
25,3,3326,0,0,5,0
25,3,3327,0,0,5,0
25,3,3328,1.6666666666666667e-06,0,5,0.000166667
26,1,3326,0.000111941,5.358918391180663e-06,26,0.011194122
26,1,3327,0.007829276,2.4245191531669433e-05,26,0.782927552
26,1,3328,0.00934,1.3312483698489347e-05,26,0.934
26,2,3326,0,0,16,0
26,2,3327,0.040214571262682144,3.621292600264577e-05,16,4.021457126
26,2,3328,0.047604333,1.8503753372987152e-05,16,4.760433333
26,3,3326,0,0,6,0
26,3,3327,0,0,6,0
26,3,3328,1.6666666666666667e-06,0,6,0.000166667
27,1,3326,4.005739731176453e-05,1.3300372471833137e-06,27,0.00400574
27,1,3327,0.006223544,2.089633952607777e-05,27,0.622354356
27,1,3328,0.007820333,1.5077577170535554e-05,27,0.782033333
27,2,3326,0,0,17,0
27,2,3327,0.030569966018075538,3.12043167112565e-05,17,3.056996602
27,2,3328,0.037263333,6.22784963780529e-05,17,3.726333333
27,3,3326,0,0,7,0
27,3,3327,0,0,7,0
27,3,3328,2.3333333333333336e-06,4.0824829046386294e-07,7,0.000233333
28,1,3326,0.000500717,1.8739400638757214e-05,28,0.050071747
28,1,3327,0.001534238,9.582145835648446e-06,28,0.153423782
28,1,3328,0.001933667,3.1797973380629772e-06,28,0.193366667
28,2,3326,0,0,18,0
28,2,3327,0.028100309,2.449149596489534e-05,18,2.81003094
28,2,3328,0.032347333333333284,3.276430985081586e-05,18,3.234733333
28,3,3326,0,0,8,0
28,3,3327,0,0,8,0
28,3,3328,2.0000000000000003e-06,6.236095644623235e-07,8,0.0002
29,1,3326,0.001105968,4.740258656427513e-06,29,0.110596828
29,1,3327,0.001496492,8.69190312368318e-06,29,0.149649246
29,1,3328,0.001840333,3.472111109336494e-06,29,0.184033333
29,2,3326,0,0,19,0
29,2,3327,0.023480055,2.6211006881194315e-05,19,2.348005546
29,2,3328,0.028438333333333298,2.3231922482263545e-05,19,2.843833333
29,3,3326,0,0,9,0
29,3,3327,0,0,9,0
29,3,3328,9.766666666666001e-05,4.136557881990638e-06,9,0.009766667
30,1,3326,0.001252754,1.0848727859235174e-05,30,0.125275395
30,1,3327,0.001537568,4.952348266039986e-06,30,0.153756829
30,1,3328,0.001762,1.4337208778505212e-06,30,0.1762
30,2,3326,0,0,20,0
30,2,3327,0.021342558,2.876015363810326e-05,20,2.1342558
30,2,3328,0.025597667,1.6696639715161266e-05,20,2.559766667
30,3,3326,0,0,10,0
30,3,3327,0,0,10,0
30,3,3328,0.0173,9.132816287068958e-05,10,1.73
30,4,3326,0,0,0,0
30,4,3327,0,0,0,0
30,4,3328,0,0,0,0
31,1,3326,0.001192119,1.1943578804531157e-05,31,0.119211912
31,1,3327,0.001637705,4.741295865673171e-06,31,0.16377045
31,1,3328,0.001687667,8.498365856000985e-07,31,0.168766667
31,2,3326,0,0,21,0
31,2,3327,0.021697364,7.199780795863808e-06,21,2.169736437
31,2,3328,0.023102333,1.0653637876332444e-05,21,2.310233333
31,3,3326,0,0,11,0
31,3,3327,0,0,11,0
31,3,3328,0.11365599999999995,8.249006674207521e-05,11,11.3656
31,4,3326,0,0,1,0
31,4,3327,0,0,1,0
31,4,3328,0,0,1,0
32,1,3326,0.001017074,9.754463976955269e-06,32,0.101707378
32,1,3327,0.001572205,4.90734871166484e-06,32,0.157220521
32,1,3328,0.001605667,6.666666666575069e-07,32,0.160566667
32,2,3326,0,0,22,0
32,2,3327,0.018522536,9.456562059046012e-06,22,1.852253564
32,2,3328,0.019414333,5.83571380000569e-06,22,1.941433333
32,3,3326,0,0,12,0
32,3,3327,0,0,12,0
32,3,3328,0.10929199999999997,1.1527744310534134e-05,12,10.9292
32,4,3326,0,0,2,0
32,4,3327,0,0,2,0
32,4,3328,0,0,2,0
33,1,3326,0.000319087,1.0470926635841571e-05,33,0.031908735
33,1,3327,0.001501821,3.8038088839184264e-06,33,0.150182121
33,1,3328,0.001527333,6.666666666624567e-07,33,0.152733333
33,2,3326,0,0,23,0
33,2,3327,0.015665212,8.594943165862852e-06,23,1.566521199
33,2,3328,0.016242,4.546060565673927e-06,23,1.6242
33,3,3326,0,0,13,0
33,3,3327,0.00565159,2.9567313440977163e-05,13,0.565159036
33,3,3328,0.094609,2.475771484698225e-05,13,9.4609
33,4,3326,0,0,3,0
33,4,3327,0,0,3,0
33,4,3328,0,0,3,0
34,1,3326,0.000159955,6.908352687283469e-06,34,0.015995522
34,1,3327,0.001432769,2.8864097835930717e-06,34,0.143276941
34,1,3328,0.001452667,4.0824829047202606e-07,34,0.145266667
34,2,3326,0,0,24,0
34,2,3327,0.013188894,1.2443673395358783e-05,24,1.318889443
34,2,3328,0.013585666666666617,3.597838857492708e-06,24,1.358566667
34,3,3326,0,0,14,0
34,3,3327,0.020818786,5.132843449343196e-05,14,2.081878564
34,3,3328,0.079862667,2.268504157172548e-05,14,7.986266667
34,4,3326,0,0,4,0
34,4,3327,0,0,4,0
34,4,3328,0.2407793333333333,0.000129847,4,24.07793333
35,1,3326,0.000160778,8.527435348682588e-06,35,0.016077832
35,1,3327,0.001366382,2.0590356272898664e-06,35,0.136638199
35,1,3328,0.001383,3.3333333333994286e-07,35,0.1383
35,2,3326,2.880840217626901e-05,2.2955084313525297e-06,25,0.00288084
35,2,3327,0.011067383,7.409002584877427e-06,25,1.106738324
35,2,3328,0.011362333,3.3582402799354416e-06,25,1.136233333
35,3,3326,0,0,15,0
35,3,3327,0.027001253,3.054850368093528e-05,15,2.700125337
35,3,3328,0.066977333,1.698528775145846e-05,15,6.697733333
35,4,3326,0,0,5,0
35,4,3327,0,0,5,0
35,4,3328,0.323557,0.000136246,5,32.3557
36,1,3326,0.000221139,8.658836545541027e-06,36,0.022113878
36,1,3327,0.001301105,2.457438624507295e-06,36,0.130110472
36,1,3328,0.001315,0,36,0.1315
36,2,3326,0.000639821,6.798514964385633e-06,26,0.063982089
36,2,3327,0.009273147,6.463749081295373e-06,26,0.927314651
36,2,3328,0.009502667,3.822448313729576e-06,26,0.950266667
36,3,3326,0,0,16,0
36,3,3327,0.028480871429316778,5.2783762468607036e-05,16,2.848087143
36,3,3328,0.056061,1.5171244730288563e-05,16,5.6061
36,4,3326,0,0,6,0
36,4,3327,0,0,6,0
36,4,3328,0.30322533333333335,0.000120646,6,30.32253333
37,1,3326,0.000290553,7.704256280690603e-06,37,0.029055331
37,1,3327,0.00123827,2.5217933245384907e-06,37,0.12382698
37,1,3328,0.001251667,0,37,0.125166667
37,2,3326,0.001577054,9.39076599627459e-06,27,0.157705424
37,2,3327,0.007761556,6.647981199071678e-06,27,0.776155591
37,2,3328,0.007943667,3.045944480420252e-06,27,0.794366667
37,3,3326,0,0,17,0
37,3,3327,0.026721494,4.726716841019283e-05,17,2.672149365
37,3,3328,0.046879667,6.960204339270386e-06,17,4.687966667
37,4,3326,0,0,7,0
37,4,3327,0,0,7,0
37,4,3328,0.2624333333333333,9.311730952584865e-05,7,26.24333333
38,1,3326,0.000346798,7.55627342955773e-06,38,0.034679829
38,1,3327,0.001177877,2.0769147092353746e-06,38,0.117787722
38,1,3328,0.00119,0,38,0.119
38,2,3326,0.000844498,8.661009675591202e-06,28,0.084449773
38,2,3327,0.001916576,3.3230635347877094e-06,28,0.19165761
38,2,3328,0.001957,2.260776661037567e-06,28,0.1957
38,3,3326,0,0,18,0
38,3,3327,0.023426989929760278,3.5383563594870456e-05,18,2.342698993
38,3,3328,0.039181667,1.0967122584239355e-05,18,3.918166667
38,4,3326,0,0,8,0
38,4,3327,0,0,8,0
38,4,3328,0.22140999999999997,0.000114184,8,22.141
39,1,3326,0.000445844,5.295329764455589e-06,39,0.044584432
39,1,3327,0.001121481,1.6982145935514142e-06,39,0.112148122
39,1,3328,0.001131667,0,39,0.113166667
39,2,3326,0.001370457,1.3738848770762783e-05,29,0.137045685
39,2,3327,0.001823989,2.8735717224150546e-06,29,0.182398895
39,2,3328,0.00186,2.5276251480281405e-06,29,0.186
39,3,3326,5.487314700241716e-07,3.360280268416359e-07,19,5.48731E-05
39,3,3327,0.019799217,2.3816956119401222e-05,19,1.979921689
39,3,3328,0.032749333,8.999999999994706e-06,19,3.274933333
39,4,3326,0,0,9,0
39,4,3327,6.660945654454564e-07,4.4406304363030426e-07,9,6.66095E-05
39,4,3328,0.18502966666666665,8.685780205472033e-05,9,18.50296667
40,1,3326,0.000519923,8.51197307786378e-06,40,0.051992307
40,1,3327,0.001066417,1.5933759220622988e-06,40,0.10664174
40,1,3328,0.001076667,0,40,0.107666667
40,2,3326,0.001581718,6.226349381673103e-06,30,0.158171846
40,2,3327,0.00173451,2.7776134504867223e-06,30,0.173451025
40,2,3328,0.001770667,2.1473497877908857e-06,30,0.177066667
40,3,3326,4.3349786131909564e-05,2.194925880096687e-06,20,0.004334979
40,3,3327,0.016561775,1.4979313465147306e-05,20,1.656177528
40,3,3328,0.027391,5.441609239102228e-06,20,2.7391
40,4,3326,0,0,10,0
40,4,3327,6.660945654454564e-07,2.719319676303773e-07,10,6.66095E-05
40,4,3328,0.15480766666666662,8.794347932367988e-05,10,15.48076667
40,5,3326,0,0,0,0
40,5,3327,0,0,0,0
40,5,3328,0,0,0,0
41,1,3326,0.000557237,5.938608148653238e-06,41,0.055723681
41,1,3327,0.001012686,2.2859544282428944e-06,41,0.101268577
41,1,3328,0.001024667,3.3333333334002735e-07,41,0.102466667
41,2,3326,0.001594614,4.643999725584563e-06,31,0.159461365
41,2,3327,0.001651248,2.6874070241548223e-06,31,0.165124843
41,2,3328,0.001683667,2.438123139715368e-06,31,0.168366667
41,3,3326,0.000192605,6.9219598556398814e-06,21,0.019260475
41,3,3327,0.016274911,2.3849017520435584e-05,21,1.627491055
41,3,3328,0.022558333,1.740849090403486e-05,21,2.255833333
41,4,3326,0,0,11,0
41,4,3327,0.000206933,8.451792542930757e-06,11,0.020693338
41,4,3328,0.13457199999999997,2.945523911141743e-05,11,13.4572
41,5,3326,0,0,1,0
41,5,3327,0,0,1,0
41,5,3328,0,0,1,0
42,1,3326,0.000546262,3.613928964592797e-06,42,0.054626218
42,1,3327,0.000966725,1.3776693624157418e-06,42,0.096672525
42,1,3328,0.000975,0,42,0.0975
42,2,3326,0.001529589,3.1878417674340677e-06,32,0.152958897
42,2,3327,0.001580864,1.2657744238607376e-06,32,0.158086444
42,2,3328,0.001603667,1.1055415967770989e-06,32,0.160366667
42,3,3326,0.000262294,1.0433115583065947e-05,22,0.026229364
42,3,3327,0.015335051,3.336868594960207e-05,22,1.533505112
42,3,3328,0.019197333,9.480975102225465e-06,22,1.919733333
42,4,3326,0,0,12,0
42,4,3327,0.059161631,7.883870064476275e-05,12,5.916163118
42,4,3328,0.11456266666666663,2.1548395145184905e-05,12,11.45626667
42,5,3326,0,0,2,0
42,5,3327,0,0,2,0
42,5,3328,0,0,2,0
43,1,3326,0.000541872,5.852421142533512e-06,43,0.054187233
43,1,3327,0.000921431,7.849999735592212e-07,43,0.092143082
43,1,3328,0.000926667,0,43,0.092666667
43,2,3326,0.001445907,1.1477542156854583e-06,33,0.144590742
