Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
67,3,0,0,47,0
67,4,0,0,37,0
67,5,0,0,27,0
67,6,0,0,17,0
67,7,0,0,7,0
68,1,0,0,68,0
68,2,0,0,58,0
68,3,0,0,48,0
68,4,0,0,38,0
68,5,0,0,28,0
68,6,0,0,18,0
68,7,0,0,8,0
69,1,0,0,69,0
69,2,0,0,59,0
69,3,0,0,49,0
69,4,0,0,39,0
69,5,0,0,29,0
69,6,0,0,19,0
69,7,0,0,9,0
70,1,0,0,70,0
70,2,0,0,60,0
70,3,0,0,50,0
70,4,0,0,40,0
70,5,0,0,30,0
70,6,0,0,20,0
70,7,0,0,10,0
70,8,0,0,0,0
71,1,0,0,71,0
71,2,0,0,61,0
71,3,0,0,51,0
71,4,0,0,41,0
71,5,0,0,31,0
71,6,0,0,21,0
71,7,0,0,11,0
71,8,0,0,1,0
72,1,0,0,72,0
72,2,0,0,62,0
72,3,0,0,52,0
72,4,0,0,42,0
72,5,0,0,32,0
72,6,0,0,22,0
72,7,0,0,12,0
72,8,0,0,2,0
73,1,0,0,73,0
73,2,0,0,63,0
73,3,0,0,53,0
73,4,0,0,43,0
73,5,0,0,33,0
73,6,0,0,23,0
73,7,0,0,13,0
73,8,0,0,3,0
74,1,0,0,74,0
74,2,0,0,64,0
74,3,0,0,54,0
74,4,0,0,44,0
74,5,0,0,34,0
74,6,0,0,24,0
74,7,0,0,14,0
74,8,0,0,4,0
75,1,0,0,75,0
75,2,0,0,65,0
75,3,0,0,55,0
75,4,0,0,45,0
75,5,0,0,35,0
75,6,0,0,25,0
75,7,0,0,15,0
75,8,0,0,5,0
76,1,0,0,76,0
76,2,0,0,66,0
76,3,0,0,56,0
76,4,0,0,46,0
76,5,0,0,36,0
76,6,0,0,26,0
76,7,0,0,16,0
76,8,0,0,6,0
77,1,0,0,77,0
77,2,0,0,67,0
77,3,0,0,57,0
77,4,0,0,47,0
77,5,0,0,37,0
77,6,0,0,27,0
77,7,0,0,17,0
77,8,0,0,7,0
78,1,0,0,78,0
78,2,3.841120290169201e-06,1.3989962366878528e-06,68,0.000384112
78,3,0,0,58,0
78,4,0,0,48,0
78,5,0,0,38,0
78,6,0,0,28,0
78,7,0,0,18,0
78,8,0,0,8,0
79,1,5.487314700241716e-07,5.487314700241716e-07,79,5.48731E-05
79,2,2.7436573501208586e-05,8.676206345443969e-07,69,0.002743657
79,3,5.487314700241716e-07,5.487314700241716e-07,59,5.48731E-05
79,4,0,0,49,0
79,5,0,0,39,0
79,6,0,0,29,0
79,7,0,0,19,0
79,8,0,0,9,0
