Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
54,1,0.000170655,8.562672834955328e-06,54,0.017065549
54,2,0.000596471,8.527435348680818e-06,44,0.059647111
54,3,0.00112051,7.4937514760777075e-06,34,0.112050966
54,4,5.487314700241716e-07,5.487314700241716e-07,24,5.48731E-05
54,5,0,0,14,0
54,6,0,0,4,0
55,1,0.000213457,8.38500469985398e-06,55,0.021345654
55,2,0.000613482,7.493751476086894e-06,45,0.061348178
55,3,0.001129289,8.438697914658036e-06,35,0.112928937
55,4,0.000119075,6.171704595475189e-06,25,0.011907473
55,5,0,0,15,0
55,6,0,0,5,0
56,1,0.000250222,1.187721629727853e-05,56,0.025022155
56,2,0.000625554,8.676206345439665e-06,46,0.062555388
56,3,0.00110295,6.492678312322449e-06,36,0.110295025
56,4,0.000423072,1.2003304929647466e-05,26,0.042307196
56,5,0,0,16,0
56,6,0,0,6,0
57,1,0.000324849,6.17170459545385e-06,57,0.032484903
57,2,0.000663965,4.160962389429247e-06,47,0.066396508
57,3,0.001044236,4.639945600197052e-06,37,0.104423599
57,4,0.000344055,7.980223483096632e-06,27,0.034405463
57,5,0,0,17,0
57,6,0,0,7,0
58,1,0.0003243,6.220301444952245e-06,58,0.03243003
58,2,0.000630492,3.7216779018246485e-06,48,0.063049246
58,3,0.000954793,5.884489443662175e-06,38,0.095479276
58,4,3.841120290169201e-05,3.6810026051023085e-06,28,0.00384112
58,5,0,0,18,0
58,6,0,0,8,0
59,1,0.000297412,6.698121206945455e-06,59,0.029741246
59,2,0.000576717,4.861773211112444e-06,49,0.057671677
59,3,0.000880714,1.0302424216349302e-05,39,0.088071401
59,4,1.646194410072515e-05,3.7818706673096585e-06,29,0.001646194
59,5,0,0,19,0
59,6,0,0,9,0
60,1,0.00026833,1.020699535922663e-05,60,0.026832969
60,2,0.000350639,1.353599418734238e-05,50,0.035063941
60,3,0.000383563,1.3198104100723159e-05,40,0.03835633
60,4,8.230972050362575e-06,1.2270008683674355e-06,30,0.000823097
60,5,0,0,20,0
60,6,0,0,10,0
60,7,0,0,0,0
61,1,0.000203579,8.111208937233755e-06,61,0.020357938
61,2,0.000144316,4.799440207350999e-06,51,0.014431638
61,3,5.1580758182272137e-05,3.821472487203338e-06,41,0.005158076
61,4,6.036046170265888e-06,1.3441121073665435e-06,31,0.000603605
61,5,0,0,21,0
61,6,0,0,11,0
61,7,0,0,1,0
62,1,0.000169558,3.2923888201433367e-06,62,0.016955802
62,2,0.000121818,4.639945600218961e-06,52,0.012181839
62,3,5.267822112232048e-05,5.582516852744015e-06,42,0.005267822
62,4,7.133509110314232e-06,2.688224214733087e-06,32,0.000713351
62,5,0,0,22,0
62,6,0,0,12,0
62,7,0,0,2,0
63,1,0.000158583,3.619132608707526e-06,63,0.015858339
63,2,0.000117429,6.3401641301348375e-06,53,0.011742853
63,3,5.871426729258636e-05,3.3151737897300998e-06,43,0.005871427
63,4,5.7068072882513856e-05,3.61913260871685e-06,33,0.005706807
63,5,5.4324415532392997e-05,4.861773211113279e-06,23,0.005432442
63,6,0,0,13,0
63,7,0,0,3,0
64,1,0.000150901,5.059054183008455e-06,64,0.015090115
64,2,0.00013389,5.514683023132644e-06,54,0.013389048
64,3,0.0001081,5.390431413875795e-06,44,0.01081001
64,4,0.000203579,3.821472487203008e-06,34,0.020357938
64,5,0.000342408,6.573335793867152e-06,24,0.034240844
64,6,0,0,14,0
64,7,0,0,4,0
65,1,0.000171204,4.558105923238963e-06,65,0.017120422
65,2,0.000156388,7.463554906741701e-06,55,0.015638847
65,3,0.000153645,3.128250685494181e-06,45,0.015364481
65,4,0.000254611,7.016471191625165e-06,35,0.02546114
65,5,0.000536111,2.4959743227796885e-05,25,0.053611065
65,6,0,0,15,0
65,7,0,0,5,0
66,1,0.000186569,3.975937232306135e-06,66,0.01865687
66,2,0.000169558,7.970785013234486e-06,56,0.016955802
66,3,0.000183825,5.487314700249996e-06,46,0.018382504
66,4,0.000689755,1.633801302244826e-05,36,0.068975546
66,5,0.004739394,2.9417329825878272e-05,26,0.473939371
66,6,1.0974629400483432e-06,6.720560536832718e-07,16,0.000109746
66,7,0,0,6,0
67,1,0.000189312,3.128250685511727e-06,67,0.018931236
67,2,0.00017724,6.973424949808595e-06,57,0.017724026
67,3,0.000216749,3.6810026051115932e-06,47,0.021674893
67,4,0.001015702,1.2034620675351659e-05,37,0.101570195
67,5,0.005393482,2.9067233626595003e-05,27,0.539348162
67,6,3.29238882014503e-06,1.0265825790856328e-06,17,0.000329239
67,7,0,0,7,0
68,1,0.000182728,1.8608389509182164e-06,68,0.018272758
68,2,0.000179984,7.080549884109013e-06,58,0.017998392
68,3,0.000221139,6.352026000429086e-06,48,0.022113878
68,4,0.001063442,6.864628496828052e-06,38,0.106344159
68,5,0.001466759,1.3429915468490243e-05,28,0.146675922
68,6,1.2072092340531777e-05,1.0974629400483437e-06,18,0.001207209
68,7,0,0,8,0
69,1,0.000181081,4.069501497814438e-06,69,0.018108139
69,2,0.000175045,7.53382529912967e-06,59,0.017504534
69,3,0.000217846,6.527367846728502e-06,49,0.021784639
69,4,0.001033261,4.953802320926026e-06,39,0.103326136
69,5,0.001427799,1.0433115583061702e-05,29,0.142779929
69,6,0.000438985,1.592739763958308e-05,19,0.043898518
69,7,0,0,9,0
70,1,0.000171753,2.9550094009411712e-06,70,0.017175295
70,2,0.000165168,7.433235668719079e-06,60,0.016516817
70,3,0.000209067,7.122948765357419e-06,50,0.020906669
70,4,0.000961926,6.1104150471388685e-06,40,0.096192627
70,5,0.00132354,1.3569320444236753e-05,30,0.132354031
70,6,0.000113039,4.106330316338556e-06,20,0.011303868
70,7,0,0,10,0
70,8,0,0,0,0
71,1,0.000164071,2.194925880080001e-06,71,0.016407071
71,2,0.000171753,7.740809971355351e-06,61,0.017175295
71,3,0.000226077,1.1398567304843642e-05,51,0.022607737
71,4,0.000885653,8.94953943886479e-06,41,0.088565259
71,5,0.001193491,1.689077112862844e-05,31,0.119349095
71,6,6.036046170265888e-06,1.3441121073665435e-06,21,0.000603605
71,7,0,0,11,0
