Timestep,ReleaseNumber,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
46,1,0.000795661,0,46,0.079566063
46,2,0.001314212,0,36,0.131421187
46,3,0.009523235,0,26,0.952323466
46,4,0.057037893,0,16,5.703789265
46,5,0.3416374695796991,0,6,34.16374696
47,1,0.000757249,0,47,0.075724943
47,2,0.001251108,0,37,0.125110775
47,3,0.007962094,0,27,0.796209363
47,4,0.047690252,0,17,4.769025206
47,5,0.2856449103784326,0,7,28.56449104
48,1,0.000721582,0,48,0.072158188
48,2,0.001190747,0,38,0.119074729
48,3,0.001961715,0,28,0.196171501
48,4,0.039873572,0,18,3.987357227
48,5,0.23882988501332042,0,8,23.8829885
49,1,0.000685914,0,49,0.068591434
49,2,0.001130387,0,39,0.113038683
49,3,0.001865687,0,29,0.1865687
49,4,0.03333818,0,19,3.333818046
49,5,0.1996861255991461,0,9,19.96861256
50,1,0.00065299,0,50,0.065299045
50,2,0.001075514,0,40,0.107551368
50,3,0.001775146,0,30,0.177514631
50,4,0.027875559,0,20,2.787555868
50,5,0.1669597807269045,0,10,16.69597807
50,6,1,0,0,100
51,1,0.000620067,0,51,0.062006656
51,2,0.001023384,0,41,0.102338419
51,3,0.001687349,0,31,0.168734927
51,4,0.023304626,0,21,2.330462553
51,5,0.1395945423167991,0,11,13.95945423
51,6,0.8361048845331804,0,1,83.61048845
52,1,0.000589886,0,52,0.058988633
52,2,0.000973998,0,42,0.097399836
52,3,0.00160504,0,32,0.160503955
52,4,0.019485455,0,22,1.94854545
52,5,0.11671518367414131,0,12,11.67151837
52,6,0.6990729181813942,0,2,69.90729182
53,1,0.00056245,0,53,0.056244976
53,2,0.000927356,0,43,0.092735618
53,3,0.001528217,0,33,0.152821714
53,4,0.016291837,0,23,1.629183735
53,5,0.097586405,0,13,9.758640463
53,6,0.5844977872403472,0,3,58.44977872
54,1,0.000535013,0,54,0.053501318
54,2,0.000880714,0,44,0.088071401
54,3,0.001454138,0,34,0.14541384
54,4,0.013622259,0,24,1.362225874
54,5,0.081593626,0,14,8.159362594
54,6,0.48870299086087743,0,4,48.87029909
55,1,0.000507577,0,55,0.050757661
55,2,0.000836815,0,45,0.083681549
55,3,0.001382803,0,35,0.13828033
55,4,0.011388922,0,25,1.138892166
55,5,0.06822104,0,15,6.822104001
55,6,0.4086074018387992,0,5,40.86074018
56,1,0.000482884,0,56,0.048288369
56,2,0.000795661,0,46,0.079566063
56,3,0.001314212,0,36,0.131421187
56,4,0.009523235,0,26,0.952323466
56,5,0.057037893,0,16,5.703789265
56,6,0.3416374695796991,0,6,34.16374696
57,1,0.000458191,0,57,0.045819078
57,2,0.000757249,0,47,0.075724943
57,3,0.001251108,0,37,0.125110775
57,4,0.007962094,0,27,0.796209363
57,5,0.047690252,0,17,4.769025206
57,6,0.2856449103784326,0,7,28.56449104
58,1,0.000436242,0,58,0.043624152
58,2,0.000721582,0,48,0.072158188
58,3,0.001190747,0,38,0.119074729
58,4,0.001961715,0,28,0.196171501
58,5,0.039873572,0,18,3.987357227
58,6,0.23882988501332042,0,8,23.8829885
59,1,0.000414292,0,59,0.041429226
59,2,0.000685914,0,49,0.068591434
59,3,0.001130387,0,39,0.113038683
59,4,0.001865687,0,29,0.1865687
59,5,0.03333818,0,19,3.333818046
59,6,0.1996861255991461,0,9,19.96861256
60,1,0.000395087,0,60,0.039508666
60,2,0.00065299,0,50,0.065299045
60,3,0.001075514,0,40,0.107551368
60,4,0.001775146,0,30,0.177514631
60,5,0.027875559,0,20,2.787555868
60,6,0.1669597807269045,0,10,16.69597807
60,7,1,0,0,100
61,1,0.000375881,0,61,0.037588106
61,2,0.000620067,0,51,0.062006656
61,3,0.001023384,0,41,0.102338419
61,4,0.001687349,0,31,0.168734927
61,5,0.023304626,0,21,2.330462553
61,6,0.1395945423167991,0,11,13.95945423
61,7,0.8361048845331804,0,1,83.61048845
62,1,0.000356675,0,62,0.035667546
62,2,0.000589886,0,52,0.058988633
62,3,0.000973998,0,42,0.097399836
62,4,0.00160504,0,32,0.160503955
62,5,0.019485455,0,22,1.94854545
62,6,0.11671518367414131,0,12,11.67151837
62,7,0.6990729181813942,0,2,69.90729182
63,1,0.000340214,0,63,0.034021351
63,2,0.00056245,0,53,0.056244976
63,3,0.000927356,0,43,0.092735618
63,4,0.001528217,0,33,0.152821714
63,5,0.016291837,0,23,1.629183735
63,6,0.097586405,0,13,9.758640463
63,7,0.5844977872403472,0,3,58.44977872
64,1,0.000323752,0,64,0.032375157
64,2,0.000535013,0,54,0.053501318
64,3,0.000880714,0,44,0.088071401
64,4,0.001454138,0,34,0.14541384
64,5,0.013622259,0,24,1.362225874
64,6,0.081593626,0,14,8.159362594
64,7,0.48870299086087743,0,4,48.87029909
65,1,0.00030729,0,65,0.030728962
65,2,0.000507577,0,55,0.050757661
65,3,0.000836815,0,45,0.083681549
65,4,0.001382803,0,35,0.13828033
65,5,0.011388922,0,25,1.138892166
65,6,0.06822104,0,15,6.822104001
65,7,0.4086074018387992,0,5,40.86074018
66,1,0.000293571,0,66,0.029357134
66,2,0.000482884,0,56,0.048288369
66,3,0.000795661,0,46,0.079566063
66,4,0.001314212,0,36,0.131421187
66,5,0.009523235,0,26,0.952323466
66,6,0.057037893,0,16,5.703789265
66,7,0.3416374695796991,0,6,34.16374696
67,1,0.000277109,0,67,0.027710939
67,2,0.000458191,0,57,0.045819078
67,3,0.000757249,0,47,0.075724943
67,4,0.001251108,0,37,0.125110775
67,5,0.007962094,0,27,0.796209363
67,6,0.047690252,0,17,4.769025206
67,7,0.2856449103784326,0,7,28.56449104
68,1,0.000263391,0,68,0.026339111
68,2,0.000436242,0,58,0.043624152
68,3,0.000721582,0,48,0.072158188
68,4,0.001190747,0,38,0.119074729
68,5,0.001961715,0,28,0.196171501
68,6,0.039873572,0,18,3.987357227
68,7,0.23882988501332042,0,8,23.8829885
69,1,0.000252416,0,69,0.025241648
69,2,0.000414292,0,59,0.041429226
69,3,0.000685914,0,49,0.068591434
69,4,0.001130387,0,39,0.113038683
69,5,0.001865687,0,29,0.1865687
69,6,0.03333818,0,19,3.333818046
69,7,0.1996861255991461,0,9,19.96861256
70,1,0.000238698,0,70,0.023869819
70,2,0.000395087,0,60,0.039508666
70,3,0.00065299,0,50,0.065299045
70,4,0.001075514,0,40,0.107551368
70,5,0.001775146,0,30,0.177514631
70,6,0.027875559,0,20,2.787555868
70,7,0.1669597807269045,0,10,16.69597807
70,8,1,0,0,100
71,1,0.000227724,0,71,0.022772356
71,2,0.000375881,0,61,0.037588106
71,3,0.000620067,0,51,0.062006656
71,4,0.001023384,0,41,0.102338419
71,5,0.001687349,0,31,0.168734927
71,6,0.023304626,0,21,2.330462553
71,7,0.1395945423167991,0,11,13.95945423
71,8,0.8361048845331804,0,1,83.61048845
72,1,0.000216749,0,72,0.021674893
72,2,0.000356675,0,62,0.035667546
72,3,0.000589886,0,52,0.058988633
72,4,0.000973998,0,42,0.097399836
72,5,0.00160504,0,32,0.160503955
72,6,0.019485455,0,22,1.94854545
72,7,0.11671518367414131,0,12,11.67151837
72,8,0.6990729181813942,0,2,69.90729182
73,1,0.000205774,0,73,0.02057743
73,2,0.000340214,0,63,0.034021351
73,3,0.00056245,0,53,0.056244976
73,4,0.000927356,0,43,0.092735618
73,5,0.001528217,0,33,0.152821714
73,6,0.016291837,0,23,1.629183735
73,7,0.097586405,0,13,9.758640463
73,8,0.5844977872403472,0,3,58.44977872
74,1,0.000120721,0,74,0.012072092
74,2,0.000323752,0,64,0.032375157
74,3,0.000535013,0,54,0.053501318
74,4,0.000880714,0,44,0.088071401
74,5,0.001454138,0,34,0.14541384
74,6,0.013622259,0,24,1.362225874
74,7,0.081593626,0,14,8.159362594
74,8,0.48870299086087743,0,4,48.87029909
75,1,0.000120721,0,75,0.012072092
75,2,0.00030729,0,65,0.030728962
75,3,0.000507577,0,55,0.050757661
75,4,0.000836815,0,45,0.083681549
75,5,0.001382803,0,35,0.13828033
75,6,0.011388922,0,25,1.138892166
75,7,0.06822104,0,15,6.822104001
75,8,0.4086074018387992,0,5,40.86074018
76,1,0.000120721,0,76,0.012072092
76,2,0.000293571,0,66,0.029357134
76,3,0.000482884,0,56,0.048288369
76,4,0.000795661,0,46,0.079566063
76,5,0.001314212,0,36,0.131421187
76,6,0.009523235,0,26,0.952323466
76,7,0.057037893,0,16,5.703789265
76,8,0.3416374695796991,0,6,34.16374696
77,1,0.000120721,0,77,0.012072092
77,2,0.000277109,0,67,0.027710939
77,3,0.000458191,0,57,0.045819078
77,4,0.000757249,0,47,0.075724943
77,5,0.001251108,0,37,0.125110775
77,6,0.007962094,0,27,0.796209363
77,7,0.047690252,0,17,4.769025206
77,8,0.2856449103784326,0,7,28.56449104
78,1,0.000117977,0,78,0.011797727
78,2,0.00025955,1.3989962366909402e-06,68,0.025954999
78,3,0.000436242,0,58,0.043624152
78,4,0.000721582,0,48,0.072158188
78,5,0.001190747,0,38,0.119074729
78,6,0.001961715,0,28,0.196171501
78,7,0.039873572,0,18,3.987357227
78,8,0.23882988501332042,0,8,23.8829885
79,1,0.000117429,5.487314700200012e-07,79,0.011742853
79,2,0.00022498,8.676206345536104e-07,69,0.02249799
79,3,0.000413744,5.487314700200016e-07,59,0.041374353
79,4,0.000685914,0,49,0.068591434
79,5,0.001130387,0,39,0.113038683
79,6,0.001865687,0,29,0.1865687
79,7,0.03333818,0,19,3.333818046
79,8,0.1996861255991461,0,9,19.96861256
80,1,0.000115782,1.026582579077828e-06,80,0.011578234
80,2,0.000198641,2.544363154737342e-06,70,0.019864079
80,3,0.000383015,2.544363154739504e-06,60,0.038301457
80,4,0.00065299,0,50,0.065299045
80,5,0.001075514,0,40,0.107551368
80,6,0.001775146,0,30,0.177514631
80,7,0.027875559,0,20,2.787555868
80,8,0.1669597807269045,0,10,16.69597807
80,9,1,0,0,100
81,1,0.0001081,2.8247681310379167e-06,81,0.01081001
81,2,0.00018163,6.036046170267272e-06,71,0.018163012
81,3,0.000350639,2.6600744943629123e-06,61,0.035063941
81,4,0.000620067,0,51,0.062006656
81,5,0.001023384,0,41,0.102338419
81,6,0.001687349,0,31,0.168734927
81,7,0.023304626,0,21,2.330462553
81,8,0.1395945423167991,0,11,13.95945423
81,9,0.8361048845331804,0,1,83.61048845
82,1,0.000105905,2.0531651581681993e-06,82,0.010590517
82,2,0.000165168,7.069910434246811e-06,72,0.016516817
82,3,0.000325398,2.053165158174353e-06,62,0.032539776
82,4,0.000589886,0,52,0.058988633
82,5,0.000973998,0,42,0.097399836
82,6,0.00160504,0,32,0.160503955
82,7,0.019485455,0,22,1.94854545
82,8,0.11671518367414131,0,12,11.67151837
82,9,0.6990729181813942,0,2,69.90729182
83,1,0.000107003,2.4540017367300434e-06,83,0.010700264
83,2,0.000166266,5.52831637650948e-06,73,0.016626564
83,3,0.000316618,1.8608389509211645e-06,63,0.031661806
83,4,0.00056245,0,53,0.056244976
83,5,0.000927356,0,43,0.092735618
83,6,0.001528217,0,33,0.152821714
83,7,0.016291837,0,23,1.629183735
83,8,0.097586405,0,13,9.758640463
83,9,0.5844977872403472,0,3,58.44977872
84,1,0.000110844,1.0974629400399991e-06,84,0.011084376
84,2,0.000117977,8.676206345536108e-07,74,0.011797727
84,3,0.000323752,0,64,0.032375157
84,4,0.000535013,0,54,0.053501318
84,5,0.000880714,0,44,0.088071401
84,6,0.001454138,0,34,0.14541384
84,7,0.013622259,0,24,1.362225874
84,8,0.081593626,0,14,8.159362594
84,9,0.48870299086087743,0,4,48.87029909
85,1,0.00011249,0,85,0.011248995
85,2,0.000120721,0,75,0.012072092
85,3,0.00030729,0,65,0.030728962
85,4,0.000507577,0,55,0.050757661
85,5,0.000836815,0,45,0.083681549
85,6,0.001382803,0,35,0.13828033
85,7,0.011388922,0,25,1.138892166
85,8,0.06822104,0,15,6.822104001
85,9,0.4086074018387992,0,5,40.86074018
86,1,0.00011249,0,86,0.011248995
86,2,0.000118526,1.0265825790992084e-06,76,0.0118526
86,3,0.000293571,0,66,0.029357134
86,4,0.000482884,0,56,0.048288369
86,5,0.000795661,0,46,0.079566063
86,6,0.001314212,0,36,0.131421187
86,7,0.009523235,0,26,0.952323466
86,8,0.057037893,0,16,5.703789265
86,9,0.3416374695796991,0,6,34.16374696
87,1,0.0001081,1.097462940057498e-06,87,0.01081001
87,2,0.000106454,2.0161681610438465e-06,77,0.010645391
87,3,0.000256806,2.0531651581730295e-06,67,0.025680633
87,4,0.000458191,0,57,0.045819078
87,5,0.000757249,0,47,0.075724943
87,6,0.001251108,0,37,0.125110775
87,7,0.007962094,0,27,0.796209363
87,8,0.047690252,0,17,4.769025206
87,9,0.2856449103784326,0,7,28.56449104
88,1,9.767420166427385e-05,1.646194410055774e-06,88,0.00976742
88,2,8.50533778537466e-05,2.8775721051538234e-06,78,0.008505338
88,3,0.000214554,4.013624683682e-06,68,0.0214554
88,4,0.000436242,0,58,0.043624152
88,5,0.000721582,0,48,0.072158188
88,6,0.001190747,0,38,0.119074729
88,7,0.001961715,0,28,0.196171501
88,8,0.039873572,0,18,3.987357227
88,9,0.23882988501332042,0,8,23.8829885
89,1,9.493054431418167e-05,2.39186502497588e-06,89,0.009493054
89,2,7.956606315350488e-05,2.2955084313525267e-06,79,0.007956606
89,3,0.000200836,3.721677901830538e-06,69,0.020083572
89,4,0.000414292,0,59,0.041429226
89,5,0.000685914,0,49,0.068591434
89,6,0.001130387,0,39,0.113038683
89,7,0.001865687,0,29,0.1865687
89,8,0.03333818,0,19,3.333818046
89,9,0.1996861255991461,0,9,19.96861256
90,1,9.054069255398832e-05,3.128250685500423e-06,90,0.009054069
90,2,7.901733168348071e-05,3.721677901829343e-06,80,0.007901733
90,3,0.000182728,3.534955217123407e-06,70,0.018272758
90,4,0.000393989,1.0974629400600005e-06,60,0.03939892
90,5,0.00065299,0,50,0.065299045
90,6,0.001075514,0,40,0.107551368
90,7,0.001775146,0,30,0.177514631
90,8,0.027875559,0,20,2.787555868
90,9,0.1669597807269045,0,10,16.69597807
90,10,1,0,0,100
91,1,8.505337785374661e-05,3.128250685500423e-06,91,0.008505338
91,2,7.243255404319065e-05,4.032336322099631e-06,81,0.007243255
91,3,0.000167912,2.9294244223993995e-06,71,0.016791183
91,4,0.000373137,1.2270008683580949e-06,61,0.03731374
91,5,0.000620067,0,51,0.062006656
91,6,0.001023384,0,41,0.102338419
91,7,0.001687349,0,31,0.168734927
91,8,0.023304626,0,21,2.330462553
91,9,0.1395945423167991,0,11,13.95945423
91,10,0.8361048845331804,0,1,83.61048845
92,1,8.066352609355323e-05,2.6882242147330857e-06,92,0.008066353
92,2,6.859143375302145e-05,4.160962389424601e-06,82,0.006859143
92,3,0.000148157,2.877572105151022e-06,72,0.01481575
92,4,0.000353383,1.599813402457763e-06,62,0.035338307
92,5,0.000589886,0,52,0.058988633
92,6,0.000973998,0,42,0.097399836
92,7,0.00160504,0,32,0.160503955
92,8,0.019485455,0,22,1.94854545
92,9,0.11671518367414131,0,12,11.67151837
92,10,0.6990729181813942,0,2,69.90729182
93,1,7.956606315350489e-05,2.295508431352527e-06,93,0.007956606
93,2,6.859143375302145e-05,4.160962389424601e-06,83,0.006859143
93,3,0.000136634,3.619132608707535e-06,73,0.013663414
93,4,0.000336921,1.5998134024371823e-06,63,0.033692112
93,5,0.00056245,0,53,0.056244976
93,6,0.000927356,0,43,0.092735618
93,7,0.001528217,0,33,0.152821714
93,8,0.016291837,0,23,1.629183735
93,9,0.097586405,0,13,9.758640463
93,10,0.5844977872403472,0,3,58.44977872
94,1,7.956606315350489e-05,2.295508431352527e-06,94,0.007956606
94,2,6.694523934294893e-05,3.639872793460654e-06,84,0.006694524
94,3,7.846860021345654e-05,2.688224214733087e-06,74,0.00784686
94,4,0.000320459,1.5998134024526157e-06,64,0.032045918
94,5,0.000535013,0,54,0.053501318
94,6,0.000880714,0,44,0.088071401
94,7,0.001454138,0,34,0.14541384
94,8,0.013622259,0,24,1.362225874
94,9,0.081593626,0,14,8.159362594
94,10,0.48870299086087743,0,4,48.87029909
95,1,7.737113727340819e-05,2.360183294705189e-06,95,0.007737114
95,2,6.694523934294893e-05,3.639872793460654e-06,85,0.006694524
95,3,7.901733168348071e-05,2.7979924733757047e-06,75,0.007901733
95,4,0.000304546,1.5027630207328763e-06,65,0.030454597
95,5,0.000507577,0,55,0.050757661
95,6,0.000836815,0,45,0.083681549
95,7,0.001382803,0,35,0.13828033
95,8,0.011388922,0,25,1.138892166
95,9,0.06822104,0,15,6.822104001
95,10,0.4086074018387992,0,5,40.86074018
96,1,7.791986874343237e-05,2.544363154738353e-06,96,0.007791987
96,2,7.133509110314232e-05,3.5772915191919663e-06,86,0.007133509
96,3,8.285845197364991e-05,2.929424422400127e-06,76,0.008285845
96,4,0.000291925,1.646194410080001e-06,66,0.029192514
96,5,0.000482884,0,56,0.048288369
96,6,0.000795661,0,46,0.079566063
96,7,0.001314212,0,36,0.131421187
96,8,0.009523235,0,26,0.952323466
96,9,0.057037893,0,16,5.703789265
96,10,0.3416374695796991,0,6,34.16374696
97,1,8.615084079379495e-05,2.9550094009413487e-06,97,0.008615084
97,2,8.066352609355323e-05,5.459809190190981e-06,87,0.008066353
97,3,8.834576667389163e-05,2.360183294705188e-06,77,0.008834577
97,4,0.000275463,1.6461944100799958e-06,67,0.02754632
97,5,0.000458191,0,57,0.045819078
97,6,0.000757249,0,47,0.075724943
97,7,0.001251108,0,37,0.125110775
97,8,0.007962094,0,27,0.796209363
97,9,0.047690252,0,17,4.769025206
97,10,0.2856449103784326,0,7,28.56449104
98,1,8.88944981439158e-05,1.860838950914672e-06,98,0.00888945
